"Mineral_Name","Approval history","Groups","Synonyms","Varieties","Strunz 8th edition","Dana 8th edition","Strunz 10th edition","Hey's 3rd edition","Formula","Crystal System","Class Name","H-M symbol","Space group","Non-standart settings","Optical Properties","Colour","Streak","Lustre","Cleavage","Fracture","Tenacity","Hardness","Density measured","Density calculated","Habit","Geological occurrence","Localities","References","Named for","Type Locality","Distribution","Distribution Range","URL to e-Rocks","Context","Groups Short"
"Unnamed (MSH UK-127)","New","Eudialyte Group",,,,,,,,,,,,,,,,,,,,,,,,,"Poudrette Quarry, Mont Saint-Hilaire, Québec, Canada",,,,,,"https://e-rocks.com/node/1453663",,
"Hilgardite-3Tc","New",,"Calciumhilgardite-3TC, Parahilgardite",,,,,,,"Triclinic",,,,,,"Colourless; colourless in transmitted light",,,,,,5,,,,,,,,,,,"https://e-rocks.com/node/1451009",,
"Nenadkevite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1450414",,
"Enalite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1448023",,
"Unnamed (Na-Mg-Mn Oxide)","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1436906",,
"Revoredite","Rejected",,,,,,,,"PbAs_4_S_7_","Amorphous",,,,,,"Black to red",,,,,,,,,,,"Cerro de Pasco, Pasco province, Pasco, Peru",,,,,,"https://e-rocks.com/node/1400956",,
"Zinc-bearing Aragonite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1369248",,
"Ryolite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1369236",,
"Pseudophite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1366103",,
"Lettenkohle","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1341344",,
"Forbesite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1322047",,
"""Herkimer-style"" Quartz","Approved","Quartz",,,,,,,"SiO_2_",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1303936",,
"Starfish","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1300015",,
"Blackband Ore","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1297729",,
"Paulite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1297253",,
"Gao-Guenie","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1295672",,
"Zag","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1295671",,
"Caesium Beryl","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1285286",,
"Zirconolite-3T","Approved",,"Цирконолит-3T",,,,,,"(Ca,REE)_2_Zr_2_(Ti,Nb)_3_FeO_14_","Trigonal",,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1269876",,
"Lapis Nevada","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1254571",,
"Campbellite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1254569",,
"Strawberry Quartz","Approved","Quartz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1254058",,
"Hiortdahlite I I","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1252351",,
"Hiortdahlite II","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1252350",,
"Bakerite","Approved",,,,,,,,"Ca_4_(H_5_B_5_Si_3_O_20_)",,,,,,,,,,,,,,,,,,"Corkscrew Canyon Mine (Corkscrew Mine), Ryan, Furnace Creek Mining District (Furnace Creek Borate Mining District), Inyo Co., California, USA",,,,,,"https://e-rocks.com/node/1252336",,
"Tongxinite","Approved",,,,"1.AB.10b",,,,"Cu_2_Zn","Isometric",,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1249695",,
"Cacholong","Approved",,,,,,,,"SiO_2_ · nH_2_O",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1248503",,
"Vittinkiite","Approved",,"IMA2017-082a,  Vittinkiiite",,,,,,"MnMn_3_Mn[Si_5_O_15_]","Triclinic",,,,,,,,,,,,,,,,,"Vittinge Fe Mines, Isokyrö, Ostrobothnia, Finland",,,,,,"https://e-rocks.com/node/1244904",,
"Unnamed (Sazhinite-related mineral I)","Approved",,,,,,,,"Na, La, Si, O, HWith minor Ce and trace Nd.","Orthorhombic",,,,,,,,,,,,,,,,,"Aris Quarry, Windhoek Rural, Khomas Region, Namibia",,,,,,"https://e-rocks.com/node/1241386",,
