Ion,ID,Elements,Ion (oxidation states),...5
AlF_3_(OH)_3_,5,"Al, F, O, H",AlF_3_(OH)_3_,
HCOO,42,"H, C, O,",HCOO,
SCN,44,"S, C, N",SCN,
AsO_2_(OH)_2_,57,"H, As^5+^, O",As^5+^O_2_(OH)_2_,
AsO_2_(OH),58,"H, As^3+^, O",As^3+^O_2_(OH),
AsO_3_(OH),59,"H, As^5+^, O",As^5+^O_3_(OH),
B_2_O_4_(OH),69,"B, O, H",B_2_O_4_(OH),
"B_6_O_7_(OH)_3_(O,OH)_3_",75,"B, O, H, O, H","B_6_O_7_(OH)_3_(O,OH)_3_",
B_24_O_39_(OH),76,"B, O, H",B_24_O_39_(OH),
B_3_O_5_(OH),77,"B, O, H",B_3_O_5_(OH),
B_4_O_7_(OH)_2_,90,"B, O, H",B_4_O_7_(OH)_2_,
B_5_O_7_(OH)_3_,95,"B, O, H",B_5_O_7_(OH)_3_,
B_5_O_8_(OH),101,"B, O, H",B_5_O_8_(OH),
B_5_O_7_(OH)_3_,107,"B, O, H",B_5_O_7_(OH)_3_,
B_6_O_9_(OH),113,"B, O, H",B_6_O_9_(OH),
[box],206,,[box],
Ag^0^,208,Ag^0^,Ag^0^,
Al^0^,210,Al^0^,Al^0^,
As^0^,211,As^0^,As^0^,
Au^?+^,214,Au^?+^,Au^?+^,
Au^0^,215,Au^0^,Au^0^,
Au^3+^,217,Au^3+^,Au^3+^,
Bi^0^,222,Bi^0^,Bi^0^,
C^0^,223,C^0^,C^0^,
Cd^0^,228,Cd^0^,Cd^0^,
Co^?+^,231,Co^?+^,Co^?+^,
Co^0^,232,Co^0^,Co^0^,
Cr^0^,235,Cr^0^,Cr^0^,
Cr^2+^,236,Cr^2+^,Cr^2+^,
Cu^?+^,240,Cu^?+^,Cu^?+^,
Cu^0^,241,Cu^0^,Cu^0^,
Fe^0^,247,Fe^0^,Fe^0^,
Ga^0^,251,Ga^0^,Ga^0^,
Hg_2_N,257,"Hg, N",Hg_2_N,
Hg^0^,258,Hg^0^,Hg^0^,
I^0^,261,I^0^,I^0^,
In^0^,263,In^0^,In^0^,
Ir^0^,264,Ir^0^,Ir^0^,
Ir^3+^,265,Ir^3+^,Ir^3+^,
Ir^4+^,266,Ir^4+^,Ir^4+^,
Mg^0^,272,Mg^0^,Mg^0^,
Mn^0^,274,Mn^0^,Mn^0^,
Mo^0^,278,Mo^0^,Mo^0^,
Nb^0^,284,Nb^0^,Nb^0^,
Ni^?+^,291,Ni^?+^,Ni^?+^,
Ni^0^,292,Ni^0^,Ni^0^,
