anion_id,anion_name,formula,formula_with_oxidation,variety_of,class_id,subclass_id,group_id,subgroup_id,structure_description,geometry
1,Carbide,C,C,,2,17,,,Single atom,Point
2,Nitrite,N,N,,2,17,,,Single atom,Point
3,Phosphide,P,P,,2,17,,,Single atom,Point
4,Silicide,Si,Si,,2,17,,,Single atom,Point
5,Dihydrogen fluoroaluminate,AlF_4_(OH)_2_,AlF_4_(OH)_2_,6,5,4,,,Ion of Al is octahedrally surrounded with four F and two OH unites,Octaedron
6,Hexafluoroaluminate,AlF_6_,AlF_6_,,5,4,,,Ion of Al is octahedrally surrounded with six F,Octaedron
7,Hydrogen pentafluoroaluminate,AlF_5_OH,AlF_5_OH,6,5,4,,,Ion of Al is octahedrally surrounded with five F and one OH unites,Octaedron
8,Oxytetrafluoroaluminate,AlF_4_O_2_,AlF_4_O_2_,6,5,4,,,Ion of Al is octahedrally surrounded with four F and two O,Octaedron
9,Hexahydrogen aluminate,Al(OH)_6_,Al(OH)_6_,6,5,4,,,Ion of Al is octahedrally surrounded with six OH units,Octaedron
10,Trihydrogen fluoroaluminate,AlF_3_(OH)_2_,AlF_3_(OH)_2_,6,5,4,,,Ion of Al is octahedrally surrounded with two F and three OH unites,Octaedron
11,Tetrafluoroborate,BF_4_,BF_4_,,5,13,,,Ion of B is tetrahedrally surrounded with four ions of F,Tetrahedron
12,Hexafluorosilicate,SiF_6_,SiF_6_,,5,42,,,Ion of Si is octahedrally surrounded with six F,Octaedron
13,Bromide,Br,Br,,5,43,,,Single ion,Point
14,Chloride,Cl,Cl,,5,43,,,Single ion,Point
15,Fluoride,F,F,,5,43,,,Single ion,Point
16,Iodide,I,I,,5,43,,,Single ion,Point
17,Azanide,NH_2_,NH_2_,,8,26,,,Azanide is a nitrogen hydride and a monovalent inorganic anion.,Bent
18,Cyanide,CN,CN,,8,26,,,Consists of a carbon atom triple-bonded to a nitrogen atom,Linear
19,Sulphhydryl,SH,SH,,8,26,,,A simple radical molecule consisting of one hydrogen and one sulfur atom,Linear
20,Thiocyanate,SCN,S^2-^CN^3-^,,8,26,,,The organic group (or metal ion) is attached to sulfur: R−S−C≡N has a S–C single bond and a C≡N triple bond.,Linear
21,"1,2,4-triazolate anion",N_3_C_2_H_2_,N_3_C_2_H_2_,,8,31,,,"A five-membered, π-excessive, aromatic nitrogen heterocycle, comprised of two carbon and three nitrogen atoms present at the 1-, 2-, and 4-positions of the ring. All the atoms in 1,2,4-triazoles are sp2 hybridized and have 6π electrons delocalized over the ring, responsible for its aromatic character",Planar
22,Acetate,CH_3_COO,CH_3_COO,,8,31,,,A monocarboxylic acid anion resulting from the removal of a proton from the carboxy group of acetic acid,Tetrahedron
23,Citrate tetrahydrate,C_6_H_5_O_7_,C_6_H_5_O_7_,,8,31,,,"Tricarboxylic acid trianion, obtained by deprotonation of the three carboxy groups of citric acid (CH_2_(COO)-CHOH(COO)-CH_2_(COO))",
24,Deoxophylloerythroetioporphyrin,C_31_H_32_N_4_,C_31_H_32_N_4_,,8,31,,,"3,9,14-Triethyl-4,8,13,18-tetramethyl-3,4-didehydrophorbine",
25,Formate,HCOO,HCOO,,8,31,,,Formate is a monocarboxylic acid anion that is the conjugate base of formic acid,
26,Glycolate,C_2_H_3_O_3_,C_2_H_3_O_3_,,8,31,,,A hydroxy monocarboxylic acid anion that is acetate where the methyl group has been hydroxylated,
27,Isocyanurate,C_3_N_3_O_3_H_2_,C_3_N_3_O_3_H_2_,,8,31,,,"1,3,5-triazine-2,4,6-triol",
28,Mellitate,C_6_(COO)_6_,C_6_(COO)_6_,,8,31,,,"Benzene-1,2,3,4,5,6-hexacarboxylic acid",
29,Methanesulphonate,CH_3_SO_3_,CH_3_S^6+^O_3_,,8,31,,,"A 1,1-diunsubstituted alkanesulfonate that is the conjugate base of methanesulfonic acid",
30,Oxalate,C_2_O_4_,C_2_O_4_,,8,31,,,"The oxalate anion may adopt either a planar conformation with D2h molecular symmetry, or a conformation where the O–C–C–O dihedrals approach 90° with approximate D2d symmetry.",
31,Mudesous acid,C_6_H_5_O_10_,C_6_H_5_O_10_,,8,31,,,Unknown structure type,
33,Antimonate,SbO_4_,Sb^5+^O_4_,,11,5,,,Sb atom is coordinated by four O atoms forming a tetraedron,Tetrahedron
34,Hexahydroxyantimonate,Sb^5+^(OH)_6_,Sb^5+^(OH)_6_,,11,5,,,Sb atom is coordinated by six O atoms forming an octahedron,Octahedron
