anion_id,element_id
1,6
2,7
3,15
4,14
5,13
5,9
5,8
5,1
6,13
6,9
7,13
7,9
7,8
7,1
8,13
8,9
8,8
9,13
9,8
9,1
10,13
10,9
10,8
10,1
11,5
11,9
12,14
12,9
13,35
14,17
15,9
16,53
17,7
17,1
18,6
18,7
19,16
19,1
20,16
20,6
20,7
21,7
21,6
21,1
22,6
22,1
22,8
23,6
23,1
23,8
24,6
24,1
24,7
25,1
25,6
25,8
26,6
26,1
26,8
27,6
27,7
27,8
27,1
28,6
28,8
29,6
29,1
29,16
29,8
30,6
30,8
31,6
31,1
31,8
33,51
33,8
34,51
34,8
34,1
35,51
35,8
36,51
36,8
37,33
37,8
38,33
38,8
39,1
39,33
39,8
40,1
40,33
40,8
41,33
41,8
42,33
42,8
43,33
43,8
44,1
44,33
44,8
45,33
45,8
46,33
46,8
47,83
47,8
48,83
48,8
49,5
49,8
50,5
50,8
51,5
51,8
52,5
52,8
52,1
53,5
53,8
53,1
54,5
54,8
54,1
55,5
55,8
55,1
56,5
56,8
56,1
57,5
57,8
58,5
58,8
58,1
59,5
59,8
60,5
60,8
60,1
61,5
61,8
61,1
62,5
62,8
62,1
63,5
63,8
63,1
64,5
64,8
64,1
65,5
65,8
65,1
66,5
66,8
66,1
67,5
67,8
67,1
68,5
68,8
68,1
69,14
69,5
69,8
69,1
70,5
70,8
71,5
71,8
72,5
72,8
73,5
73,8
73,1
74,1
74,5
74,8
75,5
75,8
75,1
76,5
76,8
76,1
77,5
77,8
77,1
78,5
78,8
78,1
79,5
79,8
79,1
80,5
80,8
80,1
81,5
81,8
81,1
82,5
82,8
82,1
83,5
83,8
83,1
84,5
84,8
84,1
85,5
85,8
85,1
86,5
86,8
86,1
87,5
87,8
87,1
88,5
88,8
89,5
89,8
90,5
90,8
90,1
91,5
91,8
91,1
92,5
92,8
92,1
93,5
93,8
93,1
94,5
94,8
94,1
95,5
95,8
95,1
96,5
96,8
96,1
97,5
97,8
97,1
98,5
98,8
98,1
99,5
99,8
99,1
100,5
100,8
100,1
101,5
101,8
101,1
102,5
102,8
102,1
103,5
103,8
103,1
104,5
104,8
104,1
105,5
105,8
105,1
106,5
106,8
107,5
107,8
107,1
108,5
108,8
109,5
109,8
110,5
110,8
111,5
111,8
111,1
112,5
112,8
113,5
113,8
113,1
114,5
114,8
115,6
115,8
116,1
116,6
116,8
117,24
117,8
118,24
118,8
119,1
119,8
120,8
120,1
121,53
121,8
122,53
122,8
123,42
123,8
124,42
124,8
125,41
125,8
126,41
126,8
127,41
127,8
128,41
128,8
129,7
129,8
130,8
131,1
131,15
131,8
132,15
132,8
133,1
133,15
133,8
134,15
134,8
135,15
135,8
136,34
136,8
137,34
137,8
138,16
138,8
138,9
139,16
139,8
139,1
140,16
140,8
141,16
141,8
142,16
142,8
143,73
143,8
144,52
144,8
145,52
145,8
146,52
146,8
147,52
147,8
148,52
148,8
149,1
149,52
149,8
150,1
150,52
150,8
151,52
151,8
152,1
152,52
152,8
153,52
153,8
154,52
154,8
155,52
155,8
156,26
156,74
156,8
157,1
157,74
157,8
158,74
158,8
159,13
159,8
160,22
160,8
161,26
161,8
162,74
162,8
163,1
163,23
163,8
164,23
164,8
165,23
165,8
166,23
166,8
167,23
167,8
168,23
168,8
169,23
169,8
170,23
170,8
171,23
171,8
172,1
172,23
172,8
173,23
173,8
174,23
174,8
175,23
175,8
176,23
176,8
177,23
177,8
178,23
178,8
179,23
179,8
180,23
180,8
181,23
181,8
182,13
182,23
182,8
183,33
183,23
183,8
184,33
184,23
184,8
185,33
185,23
185,8
186,33
186,23
186,8
187,23
187,8
188,23
188,8
189,23
189,8
190,1
190,15
190,23
190,8
191,1
191,23
191,8
192,1
192,23
192,8
193,23
193,8
194,22
194,23
194,8
195,23
195,8
196,23
196,8
197,23
197,15
197,33
197,8
198,23
198,15
198,8
198,1
199,23
199,8
200,23
200,8
201,23
201,8
202,51
203,51
204,33
205,33
206,33
206,34
207,33
207,34
208,83
208,34
209,51
209,34
210,34
211,34
212,51
212,34
213,51
213,34
214,83
214,34
215,83
215,34
216,33
216,16
217,83
217,16
218,51
218,16
219,16
220,16
221,16
222,16
223,51
223,16
224,51
224,16
225,33
225,16
226,33
226,16
227,83
227,16
228,52
228,16
229,32
229,16
230,50
230,16
231,83
231,52
232,51
232,52
233,52
234,52
