language_name,language_group,other_names,type,scope,639-1,639-2,639-3,639-5
Abkhazian,Abkhazian,Abkhaz,Living,Individual,ab,abk,abk,
Achinese,Achinese,Acehnese,Living,Individual,,ace,ace,
Acoli,Acoli,Acholi,Living,Individual,,ach,ach,
Adangme,Adangme,Dangme,Living,Individual,,ada,ada,
Adyghe,Adyghe; Adygei,West Circassian,Living,Individual,,ady,ady,
Adygei,Adyghe; Adygei,West Circassian,Living,Individual,,ady,ady,
Afar,Afar,,Living,Individual,aa,aar,aar,
Afrihili,Afrihili,,Constructed,Individual,,afh,afh,
Afrikaans,Afrikaans,,Living,Individual,af,afr,afr,
Afro-Asiatic languages,Afro-Asiatic languages,,,Collective,,afa,,afa
Ainu,Ainu,,Living,Individual,,ain,ain,
Akan,Akan,,Living,Macrolanguage,ak,aka,aka,
Akkadian,Akkadian,,Ancient,Individual,,akk,akk,
Albanian,Albanian,,Living,Macrolanguage,sq,alb* / sqi,sqi,
Aleut,Aleut,,Living,Individual,,ale,ale,
Algonquian languages,Algonquian languages,,,Collective,,alg,,alg
Altaic languages,Altaic languages,,,Collective,,tut,,tut
Amharic,Amharic,,Living,Individual,am,amh,amh,
Angika,Angika,,Living,Individual,,anp,anp,
Apache languages,Apache languages,Southern Athabaskan languages,,Collective,,apa,,apa
Arabic,Arabic,,Living,Macrolanguage,ar,ara,ara,
Aragonese,Aragonese,,Living,Individual,an,arg,arg,
Arapaho,Arapaho,,Living,Individual,,arp,arp,
Arawak,Arawak,Lokono,Living,Individual,,arw,arw,
Armenian,Armenian,,Living,Individual,hy,arm* / hye,hye,
Aromanian,Aromanian; Arumanian; Macedo-Romanian,,Living,Individual,,rup,rup,
Arumanian,Aromanian; Arumanian; Macedo-Romanian,,Living,Individual,,rup,rup,
Macedo-Romanian,Aromanian; Arumanian; Macedo-Romanian,,Living,Individual,,rup,rup,
Artificial languages,Artificial languages,,,Collective,,art,,art
Assamese,Assamese,,Living,Individual,as,asm,asm,
Asturian,Asturian; Bable; Leonese; Asturleonese,,Living,Individual,,ast,ast,
Bable,Asturian; Bable; Leonese; Asturleonese,,Living,Individual,,ast,ast,
Leonese,Asturian; Bable; Leonese; Asturleonese,,Living,Individual,,ast,ast,
Asturleonese,Asturian; Bable; Leonese; Asturleonese,,Living,Individual,,ast,ast,
Athapascan languages,Athapascan languages,Athabaskan languages,,Collective,,ath,,ath
Australian languages,Australian languages,,,Collective,,aus,,aus
Austronesian languages,Austronesian languages,,,Collective,,map,,map
Avaric,Avaric,Avar,Living,Individual,av,ava,ava,
Avestan,Avestan,,Ancient,Individual,ae,ave,ave,
Awadhi,Awadhi,,Living,Individual,,awa,awa,
Aymara,Aymara,,Living,Macrolanguage,ay,aym,aym,
Azerbaijani,Azerbaijani,,Living,Macrolanguage,az,aze,aze,
Balinese,Balinese,,Living,Individual,,ban,ban,
Baltic languages,Baltic languages,,,Collective,,bat,,bat
Baluchi,Baluchi,Balochi,Living,Macrolanguage,,bal,bal,
Bambara,Bambara,,Living,Individual,bm,bam,bam,
Bamileke languages,Bamileke languages,,,Collective,,bai,,bai
Banda languages,Banda languages,,,Collective,,bad,,bad
Bantu languages,Bantu languages,,,Collective,,bnt,,bnt
Basa,Basa,Basaa,Living,Individual,,bas,bas,
Bashkir,Bashkir,,Living,Individual,ba,bak,bak,
Basque,Basque,,Living,Individual,eu,baq* / eus,eus,
Batak languages,Batak languages,,,Collective,,btk,,btk
Beja,Beja; Bedawiyet,,Living,Individual,,bej,bej,
Bedawiyet,Beja; Bedawiyet,,Living,Individual,,bej,bej,
Belarusian,Belarusian,,Living,Individual,be,bel,bel,
Bemba,Bemba,,Living,Individual,,bem,bem,
Bengali,Bengali,,Living,Individual,bn,ben,ben,
Berber languages,Berber languages,Amazigh languages,,Collective,,ber,,ber
Bhojpuri,Bhojpuri,,Living,Individual,,bho,bho,
Bihari languages,Bihari languages,,,Collective,bh,bih,,bih
Bikol,Bikol,,Living,Macrolanguage,,bik,bik,
Bini,Bini; Edo,,Living,Individual,,bin,bin,
Edo,Bini; Edo,,Living,Individual,,bin,bin,
Bislama,Bislama,,Living,Individual,bi,bis,bis,
Blin,Blin; Bilin,Bilen,Living,Individual,,byn,byn,
Bilin,Blin; Bilin,Bilen,Living,Individual,,byn,byn,
Blissymbols,Blissymbols; Blissymbolics; Bliss,,Constructed,Individual,,zbl,zbl,
Blissymbolics,Blissymbols; Blissymbolics; Bliss,,Constructed,Individual,,zbl,zbl,
Bliss,Blissymbols; Blissymbolics; Bliss,,Constructed,Individual,,zbl,zbl,
"Bokmål, Norwegian","Bokmål, Norwegian; Norwegian Bokmål",Bokmål,Living,Individual,nb,nob,nob,
Norwegian Bokmål,"Bokmål, Norwegian; Norwegian Bokmål",Bokmål,Living,Individual,nb,nob,nob,
Bosnian,Bosnian,,Living,Individual,bs,bos,bos,
Braj,Braj,Braj Bhāshā,Living,Individual,,bra,bra,
Breton,Breton,,Living,Individual,br,bre,bre,
Buginese,Buginese,,Living,Individual,,bug,bug,
Bulgarian,Bulgarian,,Living,Individual,bg,bul,bul,
Buriat,Buriat,Buryat,Living,Macrolanguage,,bua,bua,
Burmese,Burmese,Myanmar,Living,Individual,my,bur* / mya,mya,
Caddo,Caddo,,Living,Individual,,cad,cad,
Catalan,Catalan; Valencian,,Living,Individual,ca,cat,cat,
Valencian,Catalan; Valencian,,Living,Individual,ca,cat,cat,
Caucasian languages,Caucasian languages,,,Collective,,cau,,cau
Cebuano,Cebuano,,Living,Individual,,ceb,ceb,
Celtic languages,Celtic languages,,,Collective,,cel,,cel
Central American Indian languages,Central American Indian languages,,,Collective,,cai,,cai
Central Khmer,Central Khmer,,Living,Individual,km,khm,khm,
Chagatai,Chagatai,,Extinct,Individual,,chg,chg,
Chamic languages,Chamic languages,,,Collective,,cmc,,cmc
Chamorro,Chamorro,,Living,Individual,ch,cha,cha,
Chechen,Chechen,,Living,Individual,ce,che,che,
Cherokee,Cherokee,,Living,Individual,,chr,chr,
Cheyenne,Cheyenne,,Living,Individual,,chy,chy,
Chibcha,Chibcha,,Extinct,Individual,,chb,chb,
Chichewa,Chichewa; Chewa; Nyanja,,Living,Individual,ny,nya,nya,
Chewa,Chichewa; Chewa; Nyanja,,Living,Individual,ny,nya,nya,
Nyanja,Chichewa; Chewa; Nyanja,,Living,Individual,ny,nya,nya,
Chinese,Chinese,,Living,Macrolanguage,zh,chi* / zho,zho,
Chinook jargon,Chinook jargon,,Living,Individual,,chn,chn,
Chipewyan,Chipewyan; Dene Suline,,Living,Individual,,chp,chp,
Dene Suline,Chipewyan; Dene Suline,,Living,Individual,,chp,chp,
Choctaw,Choctaw,,Living,Individual,,cho,cho,
Church Slavic,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,,Ancient,Individual,cu,chu,chu,
