639-2,639-3,639-5,639-1,Language name(s) from ISO 639-2[1],Scope,Type,Native name(s),Other name(s)
aar,aar,,aa,Afar,Individual,Living,Qafaraf; ’Afar Af; Afaraf; Qafar af,
abk,abk,,ab,Abkhazian,Individual,Living,Аҧсуа бызшәа; Аҧсшәа,Abkhaz
ace,ace,,,Achinese,Individual,Living,بهسا اچيه,Acehnese
ach,ach,,,Acoli,Individual,Living,Lwo,Acholi
ada,ada,,,Adangme,Individual,Living,Dangme,Dangme
ady,ady,,,Adyghe; Adygei,Individual,Living,Адыгабзэ; Кӏахыбзэ,West Circassian
afa,,afa,,Afro-Asiatic languages,Collective,,,
afh,afh,,,Afrihili,Individual,Constructed,El-Afrihili,
afr,afr,,af,Afrikaans,Individual,Living,Afrikaans,
ain,ain,,,Ainu,Individual,Living,アイヌ・イタㇰ,
aka,aka,,ak,Akan,Macrolanguage,Living,Akan,
akk,akk,,,Akkadian,Individual,Ancient,𒀝𒅗𒁺𒌑,
alb* / sqi,sqi,,sq,Albanian,Macrolanguage,Living,Shqip,
ale,ale,,,Aleut,Individual,Living,Уна́ӈам тунуу́; Унаӈан умсуу,
alg,,alg,,Algonquian languages,Collective,,,
alt,alt,,,Southern Altai,Individual,Living,Алтай тили,
amh,amh,,am,Amharic,Individual,Living,አማርኛ,
ang,ang,,,"English, Old (ca.450–1100)",Individual,Historical,Ænglisc; Anglisc; Englisc,
anp,anp,,,Angika,Individual,Living,,
apa,,apa,,Apache languages,Collective,,,Southern Athabaskan languages
ara,ara,,ar,Arabic,Macrolanguage,Living,العَرَبِيَّة,
arc,arc,,,Official Aramaic (700–300 BCE); Imperial Aramaic (700–300 BCE),Individual,Ancient,,
arg,arg,,an,Aragonese,Individual,Living,aragonés,
arm* / hye,hye,,hy,Armenian,Individual,Living,Հայերէն; Հայերեն,
arn,arn,,,Mapudungun; Mapuche,Individual,Living,,
arp,arp,,,Arapaho,Individual,Living,Hinónoʼeitíít,
art,,art,,Artificial languages,Collective,,,
arw,arw,,,Arawak,Individual,Living,Lokono,Lokono
asm,asm,,as,Assamese,Individual,Living,অসমীয়া,
ast,ast,,,Asturian; Bable; Leonese; Asturleonese,Individual,Living,Asturianu,
ath,,ath,,Athapascan languages,Collective,,,Athabaskan languages
aus,,aus,,Australian languages,Collective,,,
ava,ava,,av,Avaric,Individual,Living,Магӏарул мацӏ; Авар мацӏ,Avar
ave,ave,,ae,Avestan,Individual,Ancient,,
awa,awa,,,Awadhi,Individual,Living,अवधी,
aym,aym,,ay,Aymara,Macrolanguage,Living,Aymar aru,
aze,aze,,az,Azerbaijani,Macrolanguage,Living,Azərbaycan dili; آذربایجان دیلی; Азәрбајҹан дили,
bad,,bad,,Banda languages,Collective,,,
bai,,bai,,Bamileke languages,Collective,,Bamiléké,
bak,bak,,ba,Bashkir,Individual,Living,Башҡорт теле; Başqort tele,
bal,bal,,,Baluchi,Macrolanguage,Living,بلوچی,Balochi
bam,bam,,bm,Bambara,Individual,Living,ߓߊߡߊߣߊߣߞߊߣ,
ban,ban,,,Balinese,Individual,Living,ᬪᬵᬱᬩᬮᬶ; ᬩᬲᬩᬮᬶ,
baq* / eus,eus,,eu,Basque,Individual,Living,euskara,
bas,bas,,,Basa,Individual,Living,Mbene; Ɓasaá,Basaa
bat,,bat,,Baltic languages,Collective,,,
bej,bej,,,Beja; Bedawiyet,Individual,Living,Bidhaawyeet,
bel,bel,,be,Belarusian,Individual,Living,Беларуская мова,
bem,bem,,,Bemba,Individual,Living,Chibemba,
ben,ben,,bn,Bengali,Individual,Living,বাংলা,
ber,,ber,,Berber languages,Collective,,Tamaziɣt; Tamazight; ⵜⴰⵎⴰⵣⵉⵖⵜ; ⵝⴰⵎⴰⵣⵉⵗⵝ; ⵜⴰⵎⴰⵣⵉⵗⵜ,Amazigh languages
bho,bho,,,Bhojpuri,Individual,Living,भोजपुरी,
bih,,bih,bh,Bihari languages,Collective,,,
bik,bik,,,Bikol,Macrolanguage,Living,,
bin,bin,,,Bini; Edo,Individual,Living,Ẹ̀dó,
bis,bis,,bi,Bislama,Individual,Living,,
bla,bla,,,Siksika,Individual,Living,ᓱᖽᐧᖿ,Blackfoot
bnt,,bnt,,Bantu languages,Collective,,,
bod / tib*,bod,,bo,Tibetan,Individual,Living,བོད་སྐད་; ལྷ་སའི་སྐད་,
bos,bos,,bs,Bosnian,Individual,Living,bosanski,
bra,bra,,,Braj,Individual,Living,,Braj Bhāshā
bre,bre,,br,Breton,Individual,Living,Brezhoneg,
btk,,btk,,Batak languages,Collective,,,
bua,bua,,,Buriat,Macrolanguage,Living,буряад хэлэн,Buryat
bug,bug,,,Buginese,Individual,Living,ᨅᨔ ᨕᨘᨁᨗ,
bul,bul,,bg,Bulgarian,Individual,Living,български език,
bur* / mya,mya,,my,Burmese,Individual,Living,မြန်မာစာ; မြန်မာစကား,Myanmar
byn,byn,,,Blin; Bilin,Individual,Living,ብሊና; ብሊን,Bilen
cad,cad,,,Caddo,Individual,Living,Hasí:nay,
cai,,cai,,Central American Indian languages,Collective,,,
car,car,,,Galibi Carib,Individual,Living,Kari'nja,Carib
cat,cat,,ca,Catalan; Valencian,Individual,Living,català,
cau,,cau,,Caucasian languages,Collective,,,
ceb,ceb,,,Cebuano,Individual,Living,Sinugbuanong Binisayâ,
cel,,cel,,Celtic languages,Collective,,,
ces / cze*,ces,,cs,Czech,Individual,Living,čeština; český jazyk,
cha,cha,,ch,Chamorro,Individual,Living,Finu' Chamoru,
chb,chb,,,Chibcha,Individual,Extinct,Muysccubun,
che,che,,ce,Chechen,Individual,Living,Нохчийн мотт; نَاخچیین موٓتت; ნახჩიე მუოთთ,
chg,chg,,,Chagatai,Individual,Extinct,جغتای,
chi* / zho,zho,,zh,Chinese,Macrolanguage,Living,中文; 汉语; 漢語,
chk,chk,,,Chuukese,Individual,Living,,
chm,chm,,,Mari,Macrolanguage,Living,марий йылме,
chn,chn,,,Chinook jargon,Individual,Living,chinuk wawa; wawa; chinook lelang; lelang,
cho,cho,,,Choctaw,Individual,Living,Chahta',
chp,chp,,,Chipewyan; Dene Suline,Individual,Living,ᑌᓀᓱᒼᕄᓀ (Dënesųłiné),
chr,chr,,,Cherokee,Individual,Living,ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ,
chu,chu,,cu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,Individual,Ancient,Славе́нскїй ѧ҆зы́къ,
chv,chv,,cv,Chuvash,Individual,Living,Чӑвашла,
chy,chy,,,Cheyenne,Individual,Living,Tsėhésenėstsestȯtse,
cmc,,cmc,,Chamic languages,Collective,,,
cnr,cnr,,,Montenegrin,Individual,Living,crnogorski / црногорски,
cop,cop,,,Coptic,Individual,Extinct,ϯⲙⲉⲑⲣⲉⲙⲛ̀ⲭⲏⲙⲓ; ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ,
cor,cor,,kw,Cornish,Individual,Living,Kernowek,
cos,cos,,co,Corsican,Individual,Living,Corsu; Lingua corsa,
cpe,,cpe,,"Creoles and pidgins, English based",Collective,,,
cpf,,cpf,,"Creoles and pidgins, French-based",Collective,,,
cpp,,cpp,,"Creoles and pidgins, Portuguese-based",Collective,,,
cre,cre,,cr,Cree,Macrolanguage,Living,,
crh,crh,,,Crimean Tatar; Crimean Turkish,Individual,Living,Къырымтатарджа; Къырымтатар тили; Ҡырымтатарҗа; Ҡырымтатар тили,
crp,,crp,,Creoles and pidgins,Collective,,,
csb,csb,,,Kashubian,Individual,Living,Kaszëbsczi jãzëk,Cassubian
cus,,cus,,Cushitic languages,Collective,,,
cym / wel*,cym,,cy,Welsh,Individual,Living,Cymraeg; y Gymraeg,
cze* / ces,ces,,cs,Czech,Individual,Living,čeština; český jazyk,
dak,dak,,,Dakota,Individual,Living,Dakhótiyapi; Dakȟótiyapi,
dan,dan,,da,Danish,Individual,Living,dansk,
dar,dar,,,Dargwa,Individual,Living,дарган мез,
day,,day,,Land Dayak languages,Collective,,,
del,del,,,Delaware,Macrolanguage,Living,,
den,den,,,Slave (Athapascan),Macrolanguage,Living,Dene K'e,Slavey
deu / ger*,deu,,de,German,Individual,Living,Deutsch,
dgr,dgr,,,Dogrib,Individual,Living,डोगरी; ڈوگرى,
din,din,,,Dinka,Macrolanguage,Living,Thuɔŋjäŋ,
div,div,,dv,Divehi; Dhivehi; Maldivian,Individual,Living,ދިވެހި; ދިވެހިބަސް,
doi,doi,,,Dogri,Macrolanguage,Living,डोगरी; ڈوگرى,
dra,,dra,,Dravidian languages,Collective,,,
dsb,dsb,,,Lower Sorbian,Individual,Living,Dolnoserbski; Dolnoserbšćina,
dua,dua,,,Duala,Individual,Living,,
dum,dum,,,"Dutch, Middle (ca. 1050–1350)",Individual,Historical,,
dut* / nld,nld,,nl,Dutch; Flemish,Individual,Living,Nederlands; Vlaams,
dyu,dyu,,,Dyula,Individual,Living,Julakan,Jula
dzo,dzo,,dz,Dzongkha,Individual,Living,རྫོང་ཁ་,
efi,efi,,,Efik,Individual,Living,,
egy,egy,,,Egyptian (Ancient),Individual,Ancient,,
eka,eka,,,Ekajuk,Individual,Living,,Kajuk
ell / gre*,ell,,el,"Greek, Modern (1453–)",Individual,Living,Νέα Ελληνικά,
elx,elx,,,Elamite,Individual,Ancient,,
eng,eng,,en,English,Individual,Living,English,
enm,enm,,,"English, Middle (1100–1500)",Individual,Historical,,
epo,epo,,eo,Esperanto,Individual,Constructed,Esperanto,
est,est,,et,Estonian,Macrolanguage,Living,eesti keel,
eus / baq*,eus,,eu,Basque,Individual,Living,euskara,
ewe,ewe,,ee,Ewe,Individual,Living,Èʋegbe,
ewo,ewo,,,Ewondo,Individual,Living,,Kolo
