"id","mineral_name","formula","created_at"
min-29206,"10 Å Phase","Mg, Si, O, H",2020-07-05 20:23:32
min-47008,Abellaite,NaPb<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH),2020-07-05 20:23:36
min-1,Abelsonite,Ni(C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>),2020-07-05 20:23:38
min-3,Abernathyite,K(UO<sub>2</sub>)(AsO<sub>4</sub>) · 3H<sub>2</sub>O,2020-07-05 20:23:39
min-4,Abhurite,Sn<sub>21</sub>Cl<sub>16</sub>(OH)<sub>14</sub>O<sub>6</sub>,2020-07-05 20:23:40
min-8,Absite,Ti<sub>7</sub>U<sub>2</sub>ThO<sub>20</sub> · 5H<sub>2</sub>O or close,2020-07-05 20:23:41
min-13,Acetamide,CH<sub>3</sub>CONH<sub>2</sub>,2020-07-05 20:23:41
min-45955,Acmonidesite,"(NH<sub>4</sub>,K,Pb)<sub>8</sub>NaFe<sup>2+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>5</sub>Cl<sub>8</sub>",2020-07-05 20:23:42
min-18,Actinolite,☐{Ca<sub>2</sub>}{Mg<sub>4.5-2.5</sub>Fe<sub>0.5-2.5</sub>}(Si<sub>8</sub>O<sub>22</sub>)(OH)<sub>2</sub>,2020-07-05 20:23:44
min-19,Acuminite,Sr[AlF<sub>4</sub>(OH)(H<sub>2</sub>O)],2020-07-05 20:23:45
min-43780,Adachiite,CaFe<sub>3</sub>Al<sub>6</sub>(Si<sub>5</sub>AlO<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH),2020-07-05 20:23:47
min-26594,Adamantane,C<sub>10</sub>H<sub>16</sub>,2020-07-05 20:23:47
min-21,Adamite,Zn<sub>2</sub>(AsO<sub>4</sub>)(OH),2020-07-05 20:23:50
min-22,Adamsite,KAl<sub>2</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>,2020-07-05 20:23:51
min-7088,Adamsite-(Y),NaY[CO<sub>3</sub>]<sub>2</sub> · 6H<sub>2</sub>O,2020-07-05 20:23:52
min-23,Adelite,CaMg(AsO<sub>4</sub>)(OH),2020-07-05 20:23:53
min-26681,Adlerstein,FeO(OH) · nH<sub>2</sub>O,2020-07-05 20:23:53
min-27,Admontite,MgB<sub>6</sub>O<sub>10</sub> · 7H<sub>2</sub>O,2020-07-05 20:23:54
min-42458,Adolfpateraite,K(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)(H<sub>2</sub>O),2020-07-05 20:23:56
min-39324,Adranosite,(NH<sub>4</sub>)<sub>4</sub>NaAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>,2020-07-05 20:23:58
min-38898,Adranosite-(Fe),(NH<sub>4</sub>)<sub>4</sub>NaFe<sup>3+</sup><sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>,2020-07-05 20:24:00
min-34,Aerinite,"(Ca<sub>5.1</sub>Na<sub>0.5</sub>)(Fe<sup>3+</sup>,Al,Fe<sup>2+</sup>,Mg)<sub>4</sub>(Al,Mg)<sub>6</sub>[HSi<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>][(CO<sub>3</sub>)<sub>1.2</sub>(H<sub>2</sub>O)<sub>12</sub>]",2020-07-05 20:24:01
