Mineral_Name,anions_real,Formula
Aluminium,,Al
Copper,,Cu
Gold,,Au
Lead,,Pb
Nickel,,Ni
Silver,,Ag
Steinhardtite,,Al_0.38_Ni_0.32_Fe_0.30_
UM1991-06-E:AuCu,,Au_3_Cu
UM2004-08-E:AuCuPd,,"(Cu,Pd,Au)"
Antimonian Silver,,"(Ag,Sb), Sb < 5%"
Argentian Mercurian Gold,,"(Au,Ag,Hg)"
Argentocuproaurite,,"(Au,Ag,Cu,Pd,Rh)"
Argentocuproaurite-II,,Au_47_Ag_26_Cu_24_Pd_3_
Arsenian Silver,,"(Ag,As)"
Auriferous Zincian Copper,,"(Cu,Au,Zn)"
Bismuthian Gold,,"(Au,Bi)"
Cuprian Gold,,"(Au,Cu)"
Electrum,,"(Au,Ag)"
Iridian Gold,,"(Au,Ir)"
Kongsbergite,,"(Ag,Hg)"
Küstelite,,"(Ag,Au)"
Mercurian Gold,,"(Au,Hg)"
Native Amalgam,,"(Ag,Hg)"
Nickeloan Copper,,"(Cu,Ni,Fe)"
Nickeloan Gold,,"(Au,Ni)"
Oktibbehite,,"(Ni,Fe)"
Palladian Copper,,"(Cu,Pd)"
Palladian Gold,,"(Au,Pd)"
Platinian Gold,,"(Au,Pt)"
Pyrrhochrysit,,"(Au,Ag)"
Rhodite,,"(Au,Rh)"
Stanniferous Copper,,"(Cu,Sn)"
Whitneyite,,"(Cu,As)"
Porpezite,,"(Au,Pd)"
Auricupride,,Cu_3_Au
Cuproauride,,Cu_3_Au
Tomamaeite,,Cu_3_Pt
Argentocuproauride,,"Cu_3_(Au,Ag)"
Rozhkovite,,"Cu_3_(Au,Pd)"
Tetra-auricupride,,CuAu
Anyuiite,,AuPb_2_
Khatyrkite,,"(Cu,Zn)Al_2_"
Novodneprite,,AuPb_3_
UM1985-02-E:AlZn,,"(Zn,Cu)Al_2_"
Iodine,,I_2_
Cupalite,,"(Cu,Zn)Al"
Hunchunite,,Au_2_Pb
Stolperite,,AlCu
Hollisterite,,Al_3_Fe
Icosahedrite,,Al_63_Cu_24_Fe_13_
Kryachkoite,,"(Al,Cu)_6_(Fe,Cu)"
Proxidecagonite,,Al_34_Ni_9_Fe_2_
Cadmium,,Cd
Titanium,,Ti
Zinc,,Zn
Magnesium,,Mg
Rhenium,,Re
UM1980-01-E:CuZn,,Cu_3_Zn
UM1980-02-E:CuZn,,Cu_4.45_Zn
