name,relation,note
Acarbodavyne,Davyne,Variety of Davyne free of Carbon Dioxide
Acetamide,,"For ACETic acid and AMIDE, for ammonia in its composition"
Adranosite-(Al),Adranosite,As the Al analog of adranosite - the base name for the ancient god of fire Adranos.
Adranosite-(Fe),Adranosite,As the Fe 3+ analog of adranosite - the base name for the ancient god of fire Adranos.
Aegirine-augite,,Chemically between Aegirine and Augite
Aeschynite-(Ce),Aeschynite,Cerium for the dominant rare-earth element and relation to Aeschynite
Aeschynite-(Nd),Aeschynite,Neodymium as the dominant rare-earth element and relation to Aeschynite
Aeschynite-(Y),Aeschynite,Yttrium as the dominant rare-earth element and relation to Aeschynite
Agardite-(Ca),Agardite,Due to Ca content and relation to Agardite
Agardite-(Ce),Agardite,Cerium for the dominant rare-earth element and relation to Agardite
Agardite-(Dy),Agardite,Dy as the dominant rare-earth element and relation to Agardite
Agardite-(La),Agardite,Lanthanum for the dominant rare-earth element and relation to Agardite
Agardite-(Nd),Agardite,Neodymium as the dominant rare-earth element and relation to Agardite
Agardite-(Y),Agardite,Yttrium as the dominant rare-earth element and relation to Agardite
Agmantinite,,"For AG (Argentum), MAN (Mangan), TIN (Stanum) in the composition"
Al-Antigorite,Antigorite,An unnecessary name for an aluminium-bearing variety of Antigorite.
Al-illite-hydromica,Illite,Variety of Illite very low in K and high in water
Al-lizardite,Lizardite,Aluminian Lizardite
Al-pyroxene,Pyroxene Group,Variety of Pyroxene with 25% of tetrahedrally coordinated sites occupied by Al
Alarsite,,For ALuminum and ARSenic in the composition.
Alkali Feldspar,Feldspar,Feldspar Group minerals rich in Potassium or Sodium
Alkali-beryl,Beryl,"Variety of beryl high in alkalis (Li2O to 2%, Na2O to 4%, K2O to 2%, Rb2O to 1.3% and Cs2O to 4.6%)"
Alkali-femaghastingsite,Hastingsite,A sodian potassian magnesian Hastingsite
Alkali-ferrohastingsite,Hastingsite,A sodian potassian Hastingsite
Alkali-oxyapatite,Hydroxyapatite,Na-bearing variety of Hydroxyapatite.
Allanite-(Ce),Allanite,Cerium for the dominant rare-earth element and relation to Allanite
Allanite-(La),Allanite,Lanthanum for the dominant rare-earth element and relation to Allanite
Allanite-(Nd),Allanite,Neodymium for the dominant rare-earth element and relation to Allanite
Allanite-(Y),Allanite,Yttrium for the dominant rare-earth element and relation to Allanite
Allanite-Epidote,Allanite,Epidote enriched with REE and Y transitive to Allanite
Allochalcoselite,,"selenium, to reflect the different valences and crystallographic behavior of copper in this selenite mineral"
Allophane-evansite,Allophane,Phosphate-enriched Allophane
Alluaudite-Ca□,Alluaudite,For the calcium + vacancy member of the Alluaudite Group
Alluaudite-Na□,Alluaudite,For the Na + vacancy member of the Alluaudite Group
Alnaperbøeite-(Ce),Perbøeite-(Ce),"Emphasises the chemical relationships with perboeite-(Ce), the dominance of Al in the M3 site and the role of Na to charge balance the dominance of a trivalent cation in the M3 site of the REE-epidote module."
Althupite,,"For the major cations in the composition, ALuminum, THorium, Uranium, Phosphorus."
Altisite,,"Name for the elements Al, Ti, and Si in the composition."
Alum-(K),Alum Group,"For its content of potassium and as an alum, alumen"
Alum-(Na),Alum Group,"For its sodium content, and as a hydrated aluminum sulphate."
Alumina,,Due to the presence of Al
Aluminian Britholite,Britholite-(Ce),An Al-bearing variety of Britholite-(Ce).
Aluminian Chromite,Chromite,An aluminian variety of Chromite. Cr:Al from 3:1 to 1:1
Aluminian Chrysocolla,Chrysocolla,An aluminian variety of Chrysocolla.
Aluminian Chrysotile,Chrysotile,An aluminium-rich Chrysotile
Aluminian Ferrian Chrysocolla,Chrysocolla,A aluminian ferrian variety of Chrysocolla.
Aluminian Ferroanthophyllite,Ferro-anthophyllite,A variety of Ferro-anthophyllite
Aluminian Hisingerite,Hisingerite,An aluminium containing variety of Hisingerite
Aluminian Scorodite,Scorodite,An Al-bearing scorodite.
Aluminian Strengite,Strengite,Contains Al in substitution for Fe(III).
Aluminite,,For aluminum in the composition
Aluminium,,"The name is the British spelling for the element of which it is comprised. The name was given by Sir Humphry Davy, who discovered the element."
Aluminium Montmorillonite,Beidellite,A variety of Beidellite
Aluminium Spinel,Spinel,A variety of Spinel
Aluminium-glauconite,Glauconite,Al rich Glauconite
Aluminium-saponite,Saponite,Al rich Saponite
Aluminium-sepiolite,Sepiolite,Al rich Sepiolite
Alumino Adamite,Adamite,A variety of Adamite
Alumino-ottoliniite,Ottoliniite,As Al analogue of ottoliniite
Aluminobetafite (of Kawai),Betafite,An aluminium containing variety of Betafite
Aluminoceladonite,Celadonite,"From celadonite and ""alumino"" in allusion to the dominance of aluminium in the composition versus iron"
Aluminocerite-(Ce),Cerite,Al dominant cerite-(Ce)
Aluminocopiapite,Copiapite,For aluminum in the composition
Aluminocoquimbite,Coquimbite,For aluminum in the composition
Aluminomagnesiohulsite,Magnesiohulsite,In allusion to the dominance of aluminum in the composition and its chemical relationship to Magnesiohulsite
Aluminopyracmonite,Pyracmonite,Aluminum analogue of pyracmonite
Aluminosadanagaite,Sadanagaite,As Al-bearing Sadanagaite
Aluminosugilite,Sugilite,As an Al variety of Sugilite
Aluminotaramite,Taramite,As Al variety in the taramite group
Aluminous Coquimbite,Coquimbite,An aluminous variety of coquimbite
Aluminous Magnetite,Magnetite,Al-rich variety of magnetite
Aluminum Tosudite,Tosudite,A variety of Tosudite
Alumo-aeschynite,Aeschynite,An aluminian variety of Aeschynite.
Alumo-chalcosiderite,Chalcosiderite,A aluminian variety of Chalcosiderite.
Alumo-chrompicotite,Picrochromite,A variety of Picrochromite with Mg:Fe and Cr:Al both between 3:1 and 1:1
Alumoåkermanite,Åkermanite,For aluminum in the composition
Alumoberezovite,Berezovite,A aluminian variety of discredited Berezovite
Alumocalcite,Calcite,Due to the resemblance to Calcite and alumina impurities.
Alumodeweylite,Deweylite,A aluminian variety of Deweylite
Alumoedtollite,Edtollite,The Al analogue of edtollite.
Alumogoethite,Goethite,Aluminian Goethite
Alumohematite,Hematite,Aluminian Hematite
Alumohydrocalcite,Calcite,For aluminum and water (hyrdration) in the composition
Alumoklyuchevskite,Klyuchevskite,For aluminum in the composition
Alumolimonite,Limonite,Al-bearing Limonite
Alumoludwigite,Ludwigite,Aluminian Ludwigite
Alumolyndochite,Lyndochite,An Aluminium-rich variety of Lyndochite [Aeschynite-(Ce)].
Alumomaghemite,Maghemite,Aluminian Maghemite
