mineral_id,ion
38b2a847-188a-46b7-b826-8dcb5dba36e3,Ce
2f2b6037-03fb-4cec-8251-6cc10d86679c,CO_2_
f7cdb01d-a9cf-4901-a99c-0a9be47fc0e5,NH_4_
fd4b8310-1085-414c-bb83-4123a013ddf6,Al
f9075cf2-fac9-41e0-98eb-11f140296260,Fe
9d6564ff-b04a-43b7-800d-4dfc4b9ef4b5,Ce
a0ba382c-fe6c-4424-982f-49745d08082b,Nd
8cf2345b-e228-4ac1-ae1d-82892bef41d4,Y
2ec74fcc-15db-45d0-87bd-1948f3bc6467,Ca
954569c3-39e3-41f0-8dfb-2586087806a6,Ce
0ccc3a2b-6ca4-4746-a95c-a8e76fd75404,Dy
1213022a-a6aa-4a7d-aa33-3e0a145c9567,La
abd4be10-4bdb-47a2-9b1f-d0844ca3bd76,Nd
4deed333-38b7-4d70-8ac9-78939ccaee98,Y
2a4b7cce-e393-40e6-8daf-5a20a895363d,Ag
2a4b7cce-e393-40e6-8daf-5a20a895363d,Mn
2a4b7cce-e393-40e6-8daf-5a20a895363d,Sn
ff24d70d-7401-463a-8bc6-601dff3e7e2b,Al
9c3efa2d-e443-46bd-b002-2b677eb211ac,K
9c3efa2d-e443-46bd-b002-2b677eb211ac,H_2_O
e0a4eecb-6e1f-4833-9781-79eb397b844c,Al
a84966c1-06e4-4a70-93f1-674bd1adb290,Al
e49ccbc5-3214-4f1f-846a-446f5fe7fca7,Al
e49ccbc5-3214-4f1f-846a-446f5fe7fca7,As
d78a5a7b-1a40-44ec-a9f1-21d4526c927b,K
d78a5a7b-1a40-44ec-a9f1-21d4526c927b,Na
1792d6a0-1983-4870-bb2c-fed59700388b,Na
1792d6a0-1983-4870-bb2c-fed59700388b,K
1792d6a0-1983-4870-bb2c-fed59700388b,Li
1792d6a0-1983-4870-bb2c-fed59700388b,Rb
1792d6a0-1983-4870-bb2c-fed59700388b,Cs
ee8895db-7ed5-4d59-b2ba-6f460ee9cef8,Na
ee8895db-7ed5-4d59-b2ba-6f460ee9cef8,K
ee8895db-7ed5-4d59-b2ba-6f460ee9cef8,Mg
