mineral_id,language_id,meaning,stem_1,stem_2,stem_3
14a362ba-16e9-4ad8-853a-7e750b8133e5,211,"Hungarian translation of ""sorobandama-ishi"" (""abacus bead stones""), a term used in Japan for biconical chalcedony nodules.","""Abakusz-kő""=Hungarian, biconical chalcedony nodules",,
c92e9af2-ed0c-4c2a-b513-7a03eaa70190,191,"Akantha for thorn, in relation to the shape of the crystals","""Akantha""=Greek, Ancient (to 1453), thorn",,
b543eb63-3bf9-449f-8a6a-744ffe1578fd,191,"From the Greek άχρήματος for ""useless,"" in allusion to the absence of silver in the material","""άχρήματος""=Greek, Ancient (to 1453), useless",,
f82e7433-7600-47d6-b67b-5ce180ac057d,191,"The name achroite actually comes from the Greek words achroos, meaning without color.","""Achroos""=Greek, Ancient (to 1453), without color",,
4dbe8623-5a1b-4760-9b10-a8f75e5dbadb,191,"A synonym for the mineral is acmite (from Greek ἀκμή ""point, edge"") in reference to the typical pointed crystals.","""ἀκμή""=Greek, Ancient (to 1453), point",,
4ef179ec-5bcd-4a05-a0ea-3480f6752f49,191,"Aktinos for ray, in relation to the common radiating fibrous habit and ""lithos"" for stone","""Actinos""=Greek, Ancient (to 1453), ray","""Lithos""=Greek, Ancient (to 1453), stone",
31a35d97-3b2e-48eb-a77b-89a1fdfab607,288,"Word ""acuminis"" meaning sharp point or spear head, in relation to the characteristic shape of the crystals","""Acuminis""=Latin, sharp point or spear head",,
18ad247f-8d72-4d6b-8482-76c886dbaf33,191,"Adelos for indistinct, as it typically lacks transparency","""Adelos""=Greek, Ancient (to 1453), indistinct",,
090ac60a-91e8-46f8-87c5-f9e38625c0bf,191,"Aenigma for riddle, due to its  original uncertain chemical composition","""Aenigma""=Greek, Ancient (to 1453), riddle",,
6090f6ff-ff80-4bb3-9582-fa3815ba0298,191,Aerinos for sky blue for its distinctive colour.,"""Aerinos ""=Greek, Ancient (to 1453), sky blue",,
f1aeb72d-0762-4845-bd3d-d9bde910e77d,191,"Greek aeroeidēs like the air or sky, cloudy, from aer- + -eidēs -oid","""Aeroeidēs""=Greek, Ancient (to 1453), air or sky, cloudy",,
9319a65d-e7c9-4de6-801b-660d911808ec,191,"Aerugo for copper rust, due to its appearance","""Aerugo""=Greek, Ancient (to 1453), copper rust",,
0f52edd0-8f24-43af-b764-8f14e9c25433,191,"Aeschyne, for ""shame"", alluding to the fact that early chemists had difficulty with separations of titanium from zirconium in some samples, and the dominant lanthanide element in the composition.","""Aeschyne""=Greek, Ancient (to 1453), shame",,
e727cd84-e9a2-4567-a514-fa4595495f24,191,From the Greek 'αετός' - an eagle,"""αετός""=Greek, Ancient (to 1453), eagle",,
8f3979cd-4217-41a2-91bd-402e1dfa5b9c,191,"From ancient Greek. Ἄγαλμα , genus n.. Ἀγάλματος  - ""decoration"", ""statue"" and λίθος  - ""stone""","""Ἄγαλμα""=Greek, Ancient (to 1453), decoration","""λίθος ""=Greek, Ancient (to 1453), stone",
