Mineral_Name,LOCALITY,Type,Note
"""Herkimer-style"" Quartz",Herkimer region,1,"After 'herkimer diamond', the misleading name for quartz from the Herkimer region of New York State, USA."
"""Kashmir"" Sapphire",Kashmir Province,2,
Abhurite,Sharm Abhur Cove,1,"Jiddah (Jeddah), Mintaqah Makkah"
Abkhazite,Abkhazia,2,
Abuite,Abu town,3,"Yamaguchi Prefecture, Chugoku Region, Honshu Island"
Abukumalite,Abukuma,1,"Abukuma range (Abukuma massif), Fukushima Prefecture, Japan"
Achalaite,Achala granite batholith,1,located in Córdoba
Achtaragdite,Akhtaragda River,1,"Akhtaragda River mouth (Achtaragda River mouth), Vilyui River Basin (Vilui River Basin; Wilui River Basin), Saha Republic (Sakha Republic; Yakutia), Eastern-Siberian Region, Russia"
Adelaide ruby,Adelaide,3,Derived from the locality of occurrence
Admontite,"Admont, near the original locality.",3,
Adularia,Adula Massif,1,"Named in 1780 by Ermenegildo Pini for the type locality, the Adula Massif (part of the Gotthard massif), Switzerland."
Afghanite,Afghanistan,4,
African Amethyst,Africa,1,Amethyst originating from the continent of Africa
African emerald,Africa,4,"In allusion to the green color and locality of occurrence in Namibia, Africa"
Agaite,Aga Mine,1,"Otto Mountain, Silver Lake District, San Bernardino County, California"
Agate,Achates River,1,Southwestern Sicily
Agua Nueva Agate,Agua Nueva,1,From the Mexican locality of Agua Nueva
Ajoite,"Ajo, Arizona",3,
Akaganeite,"Akagane Mine, Iwate Prefecture, Tohoku Region, Honshu Island",1,
Akatoreite,"Akatore Creek, Dunedin, Otago, South Island",1,
Akdalaite,Akdala near Kara-Oba,3,
Akhtenskite,"Akhtenskoe, Magnitka, Chelyabinsk Oblast', Urals Region",1,
Akopovaite,Akopovaite type locality,1,"Asan-Usan glacier, Karasu-Karavshinskoye, Turkestan Ridge, Batken Region, Kyrgyzstan"
Aksaite,"Chelkar Salt Dome, Aksai Valley, Aktobe Province",1,
Aktashite,"Aktashskoye, Altai Republic, Western Siberia",1,
Alabandite,"Alabanda, Aidin",3,
Alabaster,Alabaston,3,The name is derived from its supposed early source at Alabaston in Egypt
Alacránite,"Alacrán Mine, Copiapó Province, Atacama Region",1,
Alamosite,"Alamos, Mun de Alamos, Sonora",1,
Alaska diamond,Alaska,2,Derived from the locality of occurrence
Alaskaite,Alaska Mine,1,"After the locality, the Alaska Mine, Colorado, USA"
Albertite,Albert Formation,1,"Albertite is a type of asphalt in the Albert Formation found in Albert County, New Brunswick"
Alcantarillaite,Alcantarillas mine,1,"Nuestra Señora de las Alcantarillas mine, Belalcázar, Córdoba, Andalusia, Spain"
Alcaparrosaite,"Alcaparrosa Mine, Cerritos Bayos, Antofagasta Region, Chile",1,
Aldanite,Aldan,2,"From Aldan region, Siberia, the type locality"
Aleksite,"Alekseevskoye Mine, Sutamskii Region,Sakha Republic, Eastern-Siberian Region, Russia",1,
Aleutite,Aleutes archipelago,1,
Algodonite,"Los Algodones Mine, El Arrayan, Elqui Province, Coquimbo Province, Chile",1,
Alleghanyite,"Alleghany County, North Carolina",3,
Allemontite,Allemont,3,"Originally reported in 1772 from Les Chalanches Mine, Allemont, Isère, Rhône-Alpes, France"
Allendeite,"Allende Meteorite, Pueblito de Allende, Chihuahua",1,For the meteorite that contained the first specimens.
Allevardite,Allevard,3,"Originally reported from Allevard, Isère, Rhône-Alpes, France"
Alluaivite,"Alluaiv Mountains, Lovozero, Kola",1,
Almandine,"Alabanda, Aydin Province, Aegean Region",3,A gemstone cutting center in antiquity
Almashite,Almas Valley,1,
Almbosite,Almhütte Bos,1,"Originally reported from Almhütte Bos, Adamello Massif, Adamello-Brenta Natural Park, Trento Province, Trentino-Alto Adige, Italy."
Alpeite,"Monte Alpe Mine, Castiglione Chiavarese and Maissana, Tre Monti mining concession, Genova and La Spezia Provinces, Liguria",1,
Alstonite,"Alston, Cumbria",3,Named for the old mining town
