mineral_id,locality_name,locality_type,note
9fd1fdcd-5ee4-4ea4-ad71-438883ea4024,Herkimer region,1,"After 'herkimer diamond', the misleading name for quartz from the Herkimer region of New York State, USA."
289ea452-4551-462d-828b-28c4f118a473,Kashmir Province,2,
2a188fcb-0140-47f1-8f44-455ce7998ecc,Sharm Abhur Cove,1,"Jiddah (Jeddah), Mintaqah Makkah"
3ec5cab6-c73f-4181-af9f-14ba97acb69b,Abkhazia,2,
5341bf44-5064-45c3-a179-0996cdb78f78,Abu town,3,"Yamaguchi Prefecture, Chugoku Region, Honshu Island"
af53e423-5577-49e6-bab2-595374d6afc6,Abukuma,1,"Abukuma range (Abukuma massif), Fukushima Prefecture, Japan"
c9c5c626-52aa-4bdd-8b44-6c90abb9eee4,Achala granite batholith,1,located in Córdoba
5827a01e-72f3-4f35-84cc-759e347e2267,Akhtaragda River,1,"Akhtaragda River mouth (Achtaragda River mouth), Vilyui River Basin (Vilui River Basin; Wilui River Basin), Saha Republic (Sakha Republic; Yakutia), Eastern-Siberian Region, Russia"
3bcc2cbe-fe74-4491-ba51-cb55c7d8a6fb,Adelaide,3,Derived from the locality of occurrence
36e2c612-fd77-465a-ac9d-002b4ab4b080,"Admont, near the original locality.",3,
2b1ef5cb-a530-4ab0-95f2-ff69a7b641d7,Adula Massif,1,"Named in 1780 by Ermenegildo Pini for the type locality, the Adula Massif (part of the Gotthard massif), Switzerland."
391f8f35-7188-4b40-87be-a49afa85701c,Afghanistan,4,
ddd8db51-d1ec-45a1-9080-df6fc68da856,Africa,1,Amethyst originating from the continent of Africa
ff772409-11a5-4867-b3bb-462e9da3d439,Africa,4,"In allusion to the green color and locality of occurrence in Namibia, Africa"
0e47e6d2-e2fb-4ccc-8839-04e4e7c273e5,Aga Mine,1,"Otto Mountain, Silver Lake District, San Bernardino County, California"
f8d81d81-55f8-41aa-b452-ac7fc09c1004,Achates River,1,Southwestern Sicily
5674d4d9-5196-4240-bf08-fc2e2682a473,Agua Nueva,1,From the Mexican locality of Agua Nueva
8244c458-763b-4dab-9b04-51da7f2dfbaf,"Ajo, Arizona",3,
d56a49f2-c0a1-41c1-85af-37a4fc2bc537,"Akagane Mine, Iwate Prefecture, Tohoku Region, Honshu Island",1,
082a95a4-e644-4046-89db-496b4720e77a,"Akatore Creek, Dunedin, Otago, South Island",1,
78d559bb-f172-4dec-9ec6-9a5a2c73b97b,Akdala near Kara-Oba,3,
7b92d420-a404-44bf-89ca-0ef672bf4301,"Akhtenskoe, Magnitka, Chelyabinsk Oblast', Urals Region",1,
d9777a5f-6793-400f-99f8-acec2ea5573a,Akopovaite type locality,1,"Asan-Usan glacier, Karasu-Karavshinskoye, Turkestan Ridge, Batken Region, Kyrgyzstan"
44de84af-cb38-4b94-af2e-af4a70a1e432,"Chelkar Salt Dome, Aksai Valley, Aktobe Province",1,
944f4e82-5d15-4a1e-8b82-60ed41f6fa6d,"Aktashskoye, Altai Republic, Western Siberia",1,
7e349dde-81a8-4283-8585-f4bcd9074945,"Alabanda, Aidin",3,
30766828-b430-4956-842d-da30da142df3,Alabaston,3,The name is derived from its supposed early source at Alabaston in Egypt
66e6b46e-d139-4b98-980b-b6ca5e327903,"Alacrán Mine, Copiapó Province, Atacama Region",1,
a343ebed-5269-4e9f-a740-20ed87a9dc98,"Alamos, Mun de Alamos, Sonora",1,
0eb76f91-604a-43da-921e-cd959edd9e9d,Alaska,2,Derived from the locality of occurrence
5f794548-09b2-40d2-9f99-2af36b833085,Alaska Mine,1,"After the locality, the Alaska Mine, Colorado, USA"
a85463f1-167d-43cb-90c5-d5a8d28f868d,Albert Formation,1,"Albertite is a type of asphalt in the Albert Formation found in Albert County, New Brunswick"
dbfb8a49-4c39-4063-8e08-66142cea28a5,Alcantarillas mine,1,"Nuestra Señora de las Alcantarillas mine, Belalcázar, Córdoba, Andalusia, Spain"
aa0a2308-934e-4617-83e4-228681dda7bb,"Alcaparrosa Mine, Cerritos Bayos, Antofagasta Region, Chile",1,
6f04af76-dfe5-4a2d-8541-2d588ba8e780,Aldan,2,"From Aldan region, Siberia, the type locality"
eac961ad-935b-4e51-872c-b56a1a9fe070,"Alekseevskoye Mine, Sutamskii Region,Sakha Republic, Eastern-Siberian Region, Russia",1,
e9c29265-6e72-449a-a3b5-2e6efa0530ff,Aleutes archipelago,1,
71247f94-026c-41fd-8126-5ff55042e7c9,"Los Algodones Mine, El Arrayan, Elqui Province, Coquimbo Province, Chile",1,
449a7f9e-447a-414a-bc98-3fd29415952e,"Alleghany County, North Carolina",3,
926e3503-4b26-4cfe-9b6d-5a286fc7c803,Allemont,3,"Originally reported in 1772 from Les Chalanches Mine, Allemont, Isère, Rhône-Alpes, France"
7d2205da-d78f-4af5-9251-7b50aacef587,"Allende Meteorite, Pueblito de Allende, Chihuahua",1,For the meteorite that contained the first specimens.
2bd33fdb-02cb-4ed4-a642-a8e66c4ce052,Allevard,3,"Originally reported from Allevard, Isère, Rhône-Alpes, France"
180aece3-fbae-4aba-8c23-6afce2b4c33b,"Alluaiv Mountains, Lovozero, Kola",1,
e6356b47-6689-46df-b354-1fc2aa978def,"Alabanda, Aydin Province, Aegean Region",3,A gemstone cutting center in antiquity
dfcf5d00-b185-4458-9386-88a93e1597f7,Almas Valley,1,
d4587909-486b-4ecb-99ac-823bcace1f87,Almhütte Bos,1,"Originally reported from Almhütte Bos, Adamello Massif, Adamello-Brenta Natural Park, Trento Province, Trentino-Alto Adige, Italy."
40766f13-e21f-4aba-8b64-ed6f6062a011,"Monte Alpe Mine, Castiglione Chiavarese and Maissana, Tre Monti mining concession, Genova and La Spezia Provinces, Liguria",1,
d0928f94-522f-417a-bc5a-cb387114dd3d,"Alston, Cumbria",3,Named for the old mining town
b6830992-e08d-4089-a858-751dd8d8d89f,Altai Mountains,2,
9f1e68be-6e0f-4f85-b63d-125b656f6252,Altmark,1,"Originally found on a natural gas plant (artificial substance) in Altmark, Germany"
8ef87a63-d303-4841-b1da-71259ec95bbc,"Allumiere Quarries, Tolfa, Rome Province, Latium",1,"A contraction of the earlier name aluminilite, after Allumiere Quarries, Latium, Italy"
f466817c-143e-4484-973c-6ecee91a88a8,Alushta,1,After the type locality
86cbb076-af02-4ca0-8df7-64a843c50320,Alve Feldspar Quarry,1,
6525ac18-cd32-47ff-a0e5-420860f8211d,Amamoor mine,1,"Amamoor Creek, Gympie Region, Queensland"
96d7bfa0-2423-4aae-b314-9c01027de971,"Tierra Amarilla, Copiapo Province, Atacama Region",1,
477e5b55-948d-4ed0-8926-17f0b46e7f1c,Amarillo Stone,1,"In allusion to its occurrence in Texas, USA"
d8872e37-c393-4070-9f8d-6a53e85791eb,Amazon River,1,For an unspecified type locality area
7e10fec2-4369-4f0b-93a0-185f8c460e72,America,4,Derived from the locality of occurrence
645bf5cc-a090-4273-9e46-8ad54ab4ebc1,America,4,Derived from the locality of occurrence
2c28dfe6-c782-475a-be1a-ceff267e2053,Ammersooien,1,"The name is for ""the potash experimental field near Armmerzoden, locally known as 'Ammersooien,' where the K-6xing phenomenon was first observed in Dutch agricultural practice."""
deafe5de-5bfc-4be0-a2f5-eda212d7c6c7,Asbestos Mines,1,"A trade name for the amphiboles belonging to the cummingtonite-grunerite solid solution series, commonly from South Africa, named as an acronym from Asbestos Mines of South Africa."
44fea4c4-cb72-414e-9510-535389ba0939,Ampangabé,1,"After the locality at Ampangabé, Madagascar"
a4ebe89e-ff85-4d9a-8b16-11273beb2250,"Amstall Graphite Quarry, Lower Austria",1,
2b774838-0ada-4f14-93c5-984a1a410fad,"Anapa, Taman Peninsula, Russia",3,
4cb7ec5c-d674-4a23-8bfa-0aee3a2c9571,"La Vendida Mine, Sierra Gorda, Antofagasta Region",1,
933e63bb-4afe-461c-9a23-4e8bd3b47aaa,After the Andalusia region,2,
