mineral_id,type,note
38b2a847-188a-46b7-b826-8dcb5dba36e3,6,"The indigenous people who inhabited the area around Mont Saint-Hilaire in southern Québec, prior to the arrival of European settlers"
58200f36-fa99-4c4d-b7cc-892225d3304d,14,"The name refers to the fact that the deposit was located by an Air-Borne-Scintillator, a device attached to an aircraft for locating mineral deposits."
2f2b6037-03fb-4cec-8251-6cc10d86679c,2,Variety of Davyne free of Carbon Dioxide
f7cdb01d-a9cf-4901-a99c-0a9be47fc0e5,2,"For ACETic acid and AMIDE, for ammonia in its composition"
fc334c3b-f5c6-49b5-afdb-d0aa7ccc8002,11,"""Acmonide"" is one of the three workers forging irons in the forges of the god Vulcano"
88134a97-e1f9-4c5a-8111-c1955f19f725,16,A silky brown variety of corundum.
3bcc2cbe-fe74-4491-ba51-cb55c7d8a6fb,16,Due to similarity to ruby
8dfd2104-4bf1-4127-8f84-1b510cd5712e,11,"For the ancient god of fire, Adranos"
fd4b8310-1085-414c-bb83-4123a013ddf6,2,As the Al analog of adranosite - the base name for the ancient god of fire Adranos.
f9075cf2-fac9-41e0-98eb-11f140296260,2,As the Fe 3+ analog of adranosite - the base name for the ancient god of fire Adranos.
a9828075-50fe-41d4-b811-9797eb74ba0f,11,"From Agir, the Scandinavian sea-god, as first described from Norway"
efa12a9e-e351-4644-9dee-0b3549f4d45e,2,Chemically between Aegirine and Augite
9d6564ff-b04a-43b7-800d-4dfc4b9ef4b5,2,Cerium for the dominant rare-earth element and relation to Aeschynite
a0ba382c-fe6c-4424-982f-49745d08082b,2,Neodymium as the dominant rare-earth element and relation to Aeschynite
8cf2345b-e228-4ac1-ae1d-82892bef41d4,2,Yttrium as the dominant rare-earth element and relation to Aeschynite
ff772409-11a5-4867-b3bb-462e9da3d439,16,Due to similarity to emerald
2ec74fcc-15db-45d0-87bd-1948f3bc6467,2,Due to Ca content and relation to Agardite
954569c3-39e3-41f0-8dfb-2586087806a6,2,Cerium for the dominant rare-earth element and relation to Agardite
0ccc3a2b-6ca4-4746-a95c-a8e76fd75404,2,Dy as the dominant rare-earth element and relation to Agardite
1213022a-a6aa-4a7d-aa33-3e0a145c9567,2,Lanthanum for the dominant rare-earth element and relation to Agardite
abd4be10-4bdb-47a2-9b1f-d0844ca3bd76,2,Neodymium as the dominant rare-earth element and relation to Agardite
4deed333-38b7-4d70-8ac9-78939ccaee98,2,Yttrium as the dominant rare-earth element and relation to Agardite
01b762d1-a18d-45d6-b251-5948c301b2e6,4,A variety of Agate consisting of Jasper veined with Chalcedony
7b3093a0-4335-44dd-90ec-a0e5eb479a37,4,A variety of Copal containing agathic acid from the Agathis conifer
6a73e162-a6b5-456d-8362-5f37df81ff79,4,A variety of agate/chalcedony replacing coral.
2a4b7cce-e393-40e6-8daf-5a20a895363d,2,"For AG (Argentum), MAN (Mangan), TIN (Stanum) in the composition"
222948e5-d6d4-4f8a-8eb7-60b12e88bab6,11,"Aiolos, the Greek name of god of winds from whom the windy Aeolian Archipelago takes its name"
ff24d70d-7401-463a-8bc6-601dff3e7e2b,2,An unnecessary name for an aluminium-bearing variety of Antigorite.
9c3efa2d-e443-46bd-b002-2b677eb211ac,2,Variety of Illite very low in K and high in water
e0a4eecb-6e1f-4833-9781-79eb397b844c,2,Aluminian Lizardite
a84966c1-06e4-4a70-93f1-674bd1adb290,2,Variety of Pyroxene with 25% of tetrahedrally coordinated sites occupied by Al
e49ccbc5-3214-4f1f-846a-446f5fe7fca7,2,For ALuminum and ARSenic in the composition.
0eb76f91-604a-43da-921e-cd959edd9e9d,16,Due to similarity to diamond
4a4494f9-0d13-41ae-b835-d45b521e104e,16,A variety of Albite and its resemblance to Moonstone
d78a5a7b-1a40-44ec-a9f1-21d4526c927b,2,Feldspar Group minerals rich in Potassium or Sodium
1792d6a0-1983-4870-bb2c-fed59700388b,2,"Variety of beryl high in alkalis (Li2O to 2%, Na2O to 4%, K2O to 2%, Rb2O to 1.3% and Cs2O to 4.6%)"
ee8895db-7ed5-4d59-b2ba-6f460ee9cef8,2,A sodian potassian magnesian Hastingsite
ccc5880a-f2e2-48c8-a5ab-6a2fee5840a1,2,A sodian potassian Hastingsite
fb3d0f81-69dd-4553-b88e-37fa006c3f22,2,Na-bearing variety of Hydroxyapatite.
654dfebe-4fc0-4990-9aed-6f4fc5073ffd,2,Cerium for the dominant rare-earth element and relation to Allanite
4779db61-2a36-4cd7-8a46-02a839135bdf,2,Lanthanum for the dominant rare-earth element and relation to Allanite
993edcb9-e5e9-4b4c-bd18-e3613d2f8a62,2,Neodymium for the dominant rare-earth element and relation to Allanite
0244526c-a3a0-4b36-965f-b5da4fce5ece,2,Yttrium for the dominant rare-earth element and relation to Allanite
14f1aaeb-3f23-40fc-ab26-25db11e29ee2,2,Epidote enriched with REE and Y transitive to Allanite
5b29b4b3-3735-4071-86a0-f04942552ac1,2,"selenium, to reflect the different valences and crystallographic behavior of copper in this selenite mineral"
f44412cd-db66-4efd-ac05-1d4c8f91a08c,2,Phosphate-enriched Allophane
9fa29e75-fced-42ff-aa65-57c444abbf05,2,For the calcium + vacancy member of the Alluaudite Group
0d4d86d0-a979-4503-83fd-8d579b46c576,2,For the Na + vacancy member of the Alluaudite Group
c4a2778b-85db-4387-baf2-c7a2f6cbd196,13,Found in alluvial form in placer deposits
1c92ab17-44d9-41bc-8ba3-8b94d31c316a,9,A misleading name for a natural purple spinel
e18b28c8-3efa-4218-801c-2dddf1ee5597,2,"Emphasises the chemical relationships with perboeite-(Ce), the dominance of Al in the M3 site and the role of Na to charge balance the dominance of a trivalent cation in the M3 site of the REE-epidote module."
9b609be9-4803-43d0-bf8a-aca5f50d7a5a,2,"For the major cations in the composition, ALuminum, THorium, Uranium, Phosphorus."
554d369c-db2e-4949-96ae-5eb4d3ad8183,2,"Name for the elements Al, Ti, and Si in the composition."
6dadfdf1-5031-4f2c-b7ba-67d341777ddc,2,"For its content of potassium and as an alum, alumen"
76dff59a-5973-4d26-b4a5-4be1d6c8a202,2,"For its sodium content, and as a hydrated aluminum sulphate."
7c09785e-db9a-4cc1-b01b-313fa90c1a38,2,Due to the presence of Al
57425771-4721-4f0f-9d8a-ab5b6ee2b580,2,An Al-bearing variety of Britholite-(Ce).
e76edcf7-83b3-4fb9-9f0c-63a81b64696c,2,An aluminian variety of Chromite. Cr:Al from 3:1 to 1:1
fa11ba1f-3d32-4a04-b1d5-1d5bb66914cc,2,An aluminian variety of Chrysocolla.
0f10ba98-a6fa-4211-8ad1-75f0b99d0147,2,An aluminium-rich Chrysotile
ab5c1d3e-1671-4194-86ec-9c58ba696802,2,A aluminian ferrian variety of Chrysocolla.
01ea9010-3657-4b7f-ba12-c33395f62637,2,A variety of Ferro-anthophyllite
5761d418-873e-4f6c-ad87-2bae7b42e7cd,2,An aluminium containing variety of Hisingerite
7cd1f037-5002-4251-90ac-35cca8a35a45,2,An Al-bearing scorodite.
a91e3ab8-b224-4dcd-977b-bb6db143985f,2,Contains Al in substitution for Fe(III).
24f37b2a-01c7-43e7-9c5b-f585de05d1e8,2,For aluminum in the composition
0872c898-b305-4337-a862-df97f3ad66b3,2,"The name is the British spelling for the element of which it is comprised. The name was given by Sir Humphry Davy, who discovered the element."
8b1c2816-4555-47c7-87d6-a750dc774093,2,A variety of Beidellite
50eca66f-1671-42af-b756-f22890de25d1,2,A variety of Spinel
97829e1c-5221-4320-9055-2701acaf5a30,2,Al rich Glauconite
ab43a1c0-a67e-4b1d-8088-34803333463c,2,Al rich Saponite
b94e82f5-5dd3-49ef-89df-12815551b34f,2,Al rich Sepiolite
c9f910e0-f7aa-44ac-9c29-21b2d7f77166,2,A variety of Adamite
cbc7f3e9-a06c-4d2b-9882-a439c8f77134,2,As Al analogue of ottoliniite
2e77032b-7e1d-4007-afad-75e83ed3f93b,2,An aluminium containing variety of Betafite
4b541f4e-e9de-4c38-8cba-cbb392410149,2,"From celadonite and ""alumino"" in allusion to the dominance of aluminium in the composition versus iron"
e3246a30-3c49-4083-b0f8-b080894c82b5,2,Al dominant cerite-(Ce)
f3d642d4-2353-4127-889e-90712b97dfc7,2,For aluminum in the composition
c4d5a4b4-31cb-44b6-896e-ab56c0d2e93a,2,For aluminum in the composition
8fc09ae0-f68d-434f-93ce-6e2f2b2421cd,2,In allusion to the dominance of aluminum in the composition and its chemical relationship to Magnesiohulsite
2117394e-cd41-4888-a034-1afc0abd883f,2,Aluminum analogue of pyracmonite
88a9e8e8-df6f-4e94-82cd-1a6eec23c53a,2,As Al-bearing Sadanagaite
c18d178b-c035-43b5-a11c-c2b2c6d8e9f4,2,As an Al variety of Sugilite
98eb104a-2f87-41b1-8e09-e8931dd9f149,2,As Al variety in the taramite group
46c4a84d-c12b-469a-874e-c0af5de6d2d1,2,An aluminous variety of coquimbite
253f70c4-19c8-4a45-85c6-0616b053a392,2,Al-rich variety of magnetite
b019decc-1ea1-465a-92ec-af067e8460e4,2,A variety of Tosudite
eb8f9e9c-fa7d-441e-9bf6-d0f00f21e33c,2,An aluminian variety of Aeschynite.
8f0eb4d8-ae66-4319-8cc4-baaaf4a4257e,2,A aluminian variety of Chalcosiderite.
330d9675-0624-4c58-ade0-fad44c998fc2,2,A variety of Picrochromite with Mg:Fe and Cr:Al both between 3:1 and 1:1
df53298d-9aa2-4b19-8c7d-78142de6d51a,2,For aluminum in the composition
ae4c2455-4bfc-48c3-9344-bfe714fbb5fb,2,A aluminian variety of discredited Berezovite
5bae4239-c5a4-4b92-98b6-070f36e338a6,2,Due to the resemblance to Calcite and alumina impurities.
87613733-056d-4289-80f5-08f5fc70166f,2,A aluminian variety of Deweylite
ee040979-71c4-4eb7-bdf8-f12bbfdfb130,2,The Al analogue of edtollite.
14a4a762-09b4-412f-a565-f8c3268c0118,2,Aluminian Goethite
d788edf6-77a5-4c1a-97db-fadee110cdcd,2,Aluminian Hematite
0a83c5df-bb46-4408-8a98-6a389437600a,2,For aluminum and water (hyrdration) in the composition
613082ef-51c6-436a-8413-2db730d4eb79,2,For aluminum in the composition
4ecf3a30-5577-4d85-99b8-54e38fd1c5ae,2,Al-bearing Limonite
db5e0813-546f-4a9d-8498-a3bcedf086f5,2,Aluminian Ludwigite
1032c56c-c80d-488d-a30f-6f56d92b9df0,2,An Aluminium-rich variety of Lyndochite [Aeschynite-(Ce)].
398fbe10-b9ac-4ae8-bfb9-d592c40f2b4c,2,Aluminian Maghemite
067e634e-9ffc-4e40-9731-22ff710f77e7,2,Aluminina Melanocerite
be669f7d-7168-4a25-bfdc-e24a87134579,2,Aluminum analogue of pharmacosiderite
1ec19b5f-c5e4-46cf-a0f7-0c1c2c52baf8,2,Aluminian Spencite
9334987d-bf83-4eab-a86a-67293e021da6,2,Composition of ALUMinum and TANTalum
77608484-ffb1-43df-acff-913158397af0,2,Aluminum analogue of Ferritungstite
c9bf85cc-80fc-4530-92f3-1fdd45230bcb,2,Aluminum analogue of Vesuvianite
73d6bc6a-f72d-486f-9d78-054c135e9bd1,2,"A substance consisting of fused alumina, related to Corundum"
f7f6d912-cb6c-48ea-9f02-593c7fdd622f,2,Composition of ALuminum and VANadium
92768bae-d0e8-4280-a4ef-4b2b932655f5,14,The term is an abbreviated form of American Matrix
111b1f96-ba39-40f2-a591-a0b1c0a59190,16,"A yellow-brownish variety of Opal, resembling Amber"
e4f8aae3-f6a8-4b05-b037-ff8b23cac5ba,16,Due to its resemblence to amber
a5799394-2cb9-42a7-b035-6631d0f2c358,16,Due to its resemblence to amber
14d9c405-ea92-4537-b3ac-fbb1906c46e3,4,A variety of Amber
7e10fec2-4369-4f0b-93a0-185f8c460e72,16,Due to similarity to jade
645bf5cc-a090-4273-9e46-8ad54ab4ebc1,16,Due to similarity to ruby
f1e0af0f-3b96-4a0b-be6f-25fd6d1a2f2b,16,Due to its resemblence to amethiste
b6a974be-0c22-46cc-b7f0-95e47d9528d5,16,Due to its resemblence to amethiste
0b381a04-e552-4e4b-95ed-a0d7a31dab35,4,Mixture of Amethyst and Milky Quartz (or clear Quartz)
1bb6707c-1e82-4d13-8e24-79266dd6d02d,4,"Combination of ""amethyst"" and ""citrine""."
3d20779e-7b94-45e2-84fc-2230ccb27992,2,The first mineral described with ammine complex in its crystal structure.
ec8f17d9-c09e-4887-b922-3ace154ee716,4,"Name for an iridescent/opalescent Ammonite from Alberta, Canada"
f4a4e1fd-1ad4-48bd-b82d-8dab6855d96e,2,Ammonium analogue of alunite
ecb493c6-fcfa-4ea3-a1e5-533e6f1003b4,2,Composition containing AMMONIum and being a BORate
663140b7-56fe-488a-81f4-98ebcdf3565f,2,Ammonium analogue of jarosite
3a6c291c-2520-4c64-a3f7-225cacece020,2,The ammonium analogue of lasalite.
6fde86a2-4e7f-4206-92b9-f468b8b14577,2,For ammonium in the composition
5e090e0a-54ab-4fbb-a97b-fe1684c4c59f,2,Analogue of voltaite with ammonium and magnesium
b6933f06-5319-4627-bad2-a2ea9ac12a65,2,The (NH4) analogue of mathesiusite.
5b143971-cc3d-4d3c-9178-efa6ea434b54,2,Named for being the ammonium analogue of voltaite.
dbdcb391-0729-4950-aa5d-f11ef6671a3a,2,Named for the chemical relation to zippeite.
76c5ab3a-a1b1-49ac-97d7-7aa6a99fbd0a,2,An ammonium-bearing variety of Aphthitalite
e19d2fae-9946-46a2-94fa-0f6b17ee7789,4,Anorthoclase with less than 10% of Albite component KAlSi3O8
4cb7ec5c-d674-4a23-8bfa-0aee3a2c9571,18,For its triclinic symmetry and polymorphism with atacamite.
4f2c4a52-54fd-403f-92f5-561c6a146776,2,Cerium for the dominant rare-earth element
f8f41c83-1756-4518-9932-e84ec4bc338b,2,Lanthanum for the dominant rare-earth element
cdfa78be-3067-4d6e-8035-c3a3c9740de9,4,"Marketing term for a tough lapidary-quality serpentine (composed dominantly of antigorite, with 21 to 31% lizardite, minor magnetite and Mg-carbonate) from Argentina"
63ce205d-9353-4139-836c-f8eca1b8e3d2,18,Formed together with Andorite VI
eedf1077-9b94-4d17-a926-13ff6490ac84,18,Formed together with Andorite IV
5fee1235-0671-405c-bbb1-bec293e9c182,2,"An epidote-group mineral in which Ce 3+ is dominant in A2, Mn"
926cbb18-9030-458a-9c99-ba42d06568cc,2,"An epidote-group mineral in which La 3+ is dominant in A2, Mn"
026bf76b-58a8-42bd-bd09-d9471ca20f46,16,Named for its angelic appearance
