mineral_id,person,born,died,role,gender,nationality
b96ca05d-ec38-4375-93d3-29fbccc11cdc,Joan Abella i Creus,1968,,Gemmologist,M,167
0036c042-38f2-4975-99c9-bff80d30cba5,Philip Hauge Abelson,1913,2004,"Organic geochemist, President of the Carnegie Institution of Washington, D.C., USA, and Editor of Science",M,4
ce103355-157e-4ace-bb41-b06eeab6d6bd,Jess Abernathy,1913,1963,amateur mineralogist and lapidarist and operator of the Fumarole mine,M,4
82e5b232-828e-4abd-bdb8-47a64b787425,Dmitry Vadimovich Abramov,1963,,"Mineralogist at the A.E. Fersman Museum, Russia",M,147
c4118d89-631c-420d-81e3-3a4d654824e8,Dr Irmgard Abs-Wurmbach,1938,,"Mineralogist, Institut für Mineralogie, Ruhr University, Bochum, Germany",M,68
13d4798e-919a-463c-b1d7-95477340673a,Luis Achával,1870,1938,Civil engineer. Professor at Universidad Nacional de Córdoba,M,8
b63d76c8-ed41-4f6c-8085-5857aa76e2cd,Tomio Adachi,1923,,An amateur mineralogist,M,91
a462fe03-7c26-4f54-99d5-c54d485f6d14,Gilbert-Joseph Adam,1795,1881,"Mineralogist, who supplied the first specimens",M,64
5f5eff06-d3f3-4af1-8cd8-7a66a0083621,Charles Baker Adams,1814,1853,"State Geologist of Vermont, USA. He was professor of chemistry and natural history in Middlebury College in Middlebury, Vermont, 1838 to 1847 and professor of astronomy and zoology at Amherst College, Amherst, Massachusetts from 1847 until 1853",M,4
02f67461-727b-4ff2-b057-446491518d58,Professor Frank Dawson Adams,1859,1942,"S McGill University, Montreal, Canada, geologist and petrologist, who studied the Monteregian Hills, including Mont Saint-Hilaire",M,35
4bfcfc89-07df-4159-bf23-3fe9e551641c,Addi Bischoff,1955,,"Cosmochemist at University of Münster, Germany, for his many contributions to the mineralogy of carbonaceous chondrites",M,68
7e770def-fa87-4075-8f9b-f0b8b4d066d7,Adolf Patera,1819,1894,"Chemist, mineralogist, and metallurgist, who invented the technology for processing uranium ores from Jáchymov for the production of uranium- based colours",M,48
9d72c2dc-9070-4e63-bd7a-634ec38b7af4,Adrian J. Brearley,1958,,"a mineralogist at the University of New Mexico, in recognition of his many contributions to meteorite mineralogy",M,4
83a53322-ed60-45f6-ad01-ef2122d6fe18,Alpheus Fuller Williams,1874,1953,"General Manager, DeBeers Consolidated Mines, Kimberley, South Africa",M,165
0e47e6d2-e2fb-4ccc-8839-04e4e7c273e5,A G Andrews,,,Mine owner of AGA mine,M,4
2f2fd507-1439-46a8-a16c-975ff2f1977f,Atali A. Agakhanov,1971,,"Mineralogist at the A.E. Fersman Mineralogical Museum, Moscow, who has worked on a wide variety of pegmatite minerals, including minerals of the milarite group.",M,147
