mineral_name,formula,ions,note,ns_class,ns_subclass,ns_family,ns_mineral
Alluaudite Supergroup,,,,,,,
Alunite Supergroup,A_0.5-1_B_3_(X1O_4_)(X2Y2_4_)(OH)_6_,"{""A"":[""Bi^3+^ x 0.5-1"",""Th^4+^ x 0.5-1"",""Ce^3+^ x 0.5-1"",""La^3+^ x 0.5-1"",""Nd^3+^ x 0.5-1"",""Sm^3+^ x 0.5-1"",""K^1+^ x 0.5-1"",""Na^1+^ x 0.5-1"",""Tl^1+^ x 0.5-1"",""(H_3_O)^1+^ x 0.5-1"",""(NH_4_)^1+^ x 0.5-1"",""Ag^1+^ x 0.5-1"",""Pb^2+^ x 0.5-1"",""Ca^2+^ x 0.5-1"",""Ba^2+^ x 0.5-1"",""Zn^2+^ x 0.5-1"",""[box]""],""B"":[""Al^3+^ x 3"",""Fe^3+^ x 3"",""Cu^2+^ x 3"",""Zn^2+^ x 3"",""Ga^3+^ x 3"",""Ge^4+^ x 3"",""V^3+^ x 3""],""X1"":[""As^5+^"",""P^5+^"",""S^6+^""],""X2"":[""As^5+^"",""P^5+^"",""S^6+^""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 4"",""(OH)^1-^ x 4""],""Z"":[""OH^1-^ x 6""]}","Kolosorukite has the higher content of Fe at B, with the charge compensated by addional OH",,,,
Amphibole Supergroup,AB_2_C_5_(X_8_O_22_)Z_2_,"{""A"":[""[box]"",""Na^1+^"",""K^1+^"",""Ca^2+^"",""Pb^2+^""],""B"":[""Na^1+^ x 2"",""Ca^2+^ x 2"",""Li^1+^ x 2"",""Mg^2+^ x 2"",""Fe^2+^ x 2"",""Mn^2+^ x 2""],""C"":[""Mg^2+^ x 5"",""Fe^2+^ x 5"",""Fe^3+^ x 5"",""Mn^3+^ x 5"",""Na^1+^ x 5"",""Ti^4+^ x 5"",""Al^3+^ x 5"",""Mn^2+^ x 5"",""Li^1+^ x 5"",""V^3+^ x 5"",""Cr^3+^ x 5"",""Ca^2+^ x 5""],""X1"":[""Si^4+^ x 8"",""Al^3+^ x 8"",""Be^2+^ x 8""],""Y1"":[""O^2-^ x 22""],""Z"":[""F^1-^ x 2"",""(OH)^1-^ x 2"",""O^2-^ x 2"",""Cl^1-^ x 2""]}",Astochite and Marmairolite can refer to the same material,,,,
Apatite Supergroup,A_5_(XO_4_)_3_Z,"{""A"":[""Na^1+^ x 5"",""Ce^3+^ x 5"",""Sr^2+^ x 5"",""La^3+^ x 5"",""Ca^2+^ x 5"",""Nd^3+^ x 5"",""REE^3+^ x 5"",""Ba^2+^ x 5"",""Bi^3+^ x 5"",""Pb^2+^ x 5"",""Cd^2+^ x 5"",""Mn^2+^ x 5"",""Y^3+^ x 5""],""X1"":[""Si^4+^ x 1(3)"",""P^5+^ x 1(3)"",""B^3+^ x 1(3)"",""As^5+^ x 1(3)"",""C^4+^ x 1(3)"",""Mn^5+^ x 1(3)"",""S^6+^ x 1(3)"",""Al^3+^ x 1(3)"",""Cr^6+^ x 1(3)"",""V^5+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""Z"":[""O^2-^"",""(OH)^1-^"",""F^1-^"",""Cl^1-^""]}",Germanate-pyromorphite contains no ions at Z position; Caryocerite and Freyalite can refer to the same material; Bellite and Chromian Mimetite can refer to the same material,,,,
Arctite Supergroup,ACa_6-12_(X1O_4_)_2-4_(X2O_4_)_2_Z_1-3_,"{""A"":[""Ba^2+^"",""K^1+^"",""Na^1+^""],""B"":[""Ca^2+^ x 6-12""],""X1"":[""V^5+^ x 1(2)-1(4)"",""Si^4+^ x 1(2)-1(4)"",""P^5+^ x 1(2)-1(4)""],""X2"":[""V^5+^ x 1(2)"",""S^6+^ x 1(2)"",""P^5+^ x 1(2)"",""C^4+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)-4(4)""],""Y2"":[""O^2-^ x 4(2)""],""Z"":[""F^1-^ x 1-3"",""O^2-^ x 1-3""]}",Arctite reveals different stoichiometry,,,,
Astrophyllite Supergroup,A_1-6_B_5-7_C_1-2_(Si_4_O_12_)_2_O_2_W_4-5_V_0-4_,"{""A"":[""K^1+^ x 3"",""Na^1+^ x 3"",""Li^1+^ x 3"",""Ca^2+^ x 3"",""(H_3_O)^1+^ x 3"",""[box]"",""Ba^2+^ x 3"",""Cs^1+^ x 3""],""B"":[""Fe^3+^ x 5-7"",""Mg^2+^ x 5-7"",""Na^1+^ x 5-7"",""Fe^2+^ x 5-7"",""Mn^2+^ x 5-7""],""C"":[""Ti^4+^ x 2"",""Nb^5+^ x 2"",""Zr^4+^ x 2"",""Fe^3+^ x 2""],""X1"":[""Si^4+^ x 4(2)""],""Y1"":[""O^2-^ x 12(2)""],""V"":[""(PO_4_)^3-^ x 0-4"",""(CO_3_)^2-^ x 0-4"",""H_2_O x 0-4""],""W"":[""(OH)^1-^ x 4-5"",""F^1-^ x 4-5"",""O^2-^ x 4-5""],""Z"":[""O^2-^ x 2""]}",,,,,
Betpakdalite Supergroup,[A_2_(H_2_O)_15-17_B(H_2_O)_6_][Mo_8_D_2_Fe^3+^_3_Y_37_],"{""A"":[""K^1+^ x 2"",""Na^1+^ x 2"",""Ca^2+^ x 2"",""Fe^3+^ x 2""],""B"":[""Ca^2+^"",""Mg^2+^"",""Na^1+^"",""Fe^3+^"",""Cu^2+^""],""C"":[""Mo^6+^ x 8""],""E"":[""Fe^3+^ x 3""],""Y1"":[""O^2-^ x 37"",""(OH)^1-^ x 37""],""V"":[""H_2_O x 6""],""W"":[""H_2_O x 15-17""]}",,,,,
Epidote Supergroup,ABC_3_(Si_2_O_7_)(SiO_4_)Z_2_,"{""A"":[""Ca^2+^"",""Mn^2+^"",""[box]""],""B"":[""Ce^3+^"",""La^3+^"",""Nd^3+^"",""Y^3+^"",""REE^3+^"",""Ca^2+^"",""Pb^2+^"",""Sr^2+^""],""C"":[""Mn^3+^ x 3"",""Al^3+^ x 3"",""Fe^3+^ x 3"",""Mn^2+^ x 3"",""V^3+^ x 3"",""Mg^2+^ x 3"",""Fe^2+^ x 3"",""Ga^3+^ x 3""],""X1"":[""Si^4+^ x 2""],""X2"":[""Si^4+^""],""Y1"":[""O^2-^ x 7""],""Y2"":[""O^2-^ x 4""],""Z"":[""F^1-^ x 2"",""O^2-^ x 2"",""(OH)^1-^ x 2""]}",,,,,
Feldspathoid Supergroup,A_1-9_(X_12_O_24_)Z_0-4_·nH_2_O,"{""A"":[""(N(CH_3_)_4_)^1+^ x 1-9"",""Na^1+^ x 1-9"",""K^1+^ x 1-9"",""Ca^2+^ x 1-9"",""[box]""],""X1"":[""Al^3+^"",""Si^4+^"",""Ge^4+^""],""Y1"":[""O^2-^ x 24""],""W"":[""H_2_O x n""],""Z"":[""(CO_3_)^2-^ x 0-4"",""(S_5_)^2-^ x 0-4"",""(C_2_O_4_)^2-^ x 0-4"",""(SH)^1-^ x 0-4"",""(PO_4_)^3-^ x 0-4"",""(OH)^1-^ x 0-4"",""(SO_4_)^2-^ x 0-4"",""(S_3_)^1-^ x 0-4"",""(S_2_)^2-^ x 0-4"",""S^2-^ x 0-4"",""Cl^1-^ x 0-4"",""(SO_3_)^2-^ x 0-4""]}","In tsaregorodtsevite 2/3 Al is replaced by Si. Acarbodavyne is CO_2_-free variety of Davyne, but CO_2_ is not listed in the chemical formula of Davyne",,,,
Gadolinite Supergroup,A_2_B_0-2_C_0-1_(XO_4_)_2_Z_2_,"{""A"":[""Ce^3+^ x 2"",""Nd^3+^ x 2"",""Y^3+^ x 2"",""Sm^3+^ x 2"",""Yb^3+^ x 2"",""La^3+^ x 2"",""Ca^2+^ x 2"",""REE^3+^ x 2"",""Pb^2+^ x 2""],""B"":[""B^3+^ x 0-2"",""Be^2+^ x 0-2""],""C"":[""Fe^2+^ x 0-1"",""[box]"",""Ca^2+^ x 0-1"",""Mg^2+^ x 0-1"",""Fe^3+^ x 0-1"",""Al^3+^ x 0-1""],""X1"":[""As^5+^ x 1(2)"",""P^5+^ x 1(2)"",""Si^4+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""O^2-^ x 2"",""(OH)^1-^ x 2"",""F^1-^ x 2""]}",Bakerite reveals a slightly different stoiciometry due to its high B content,,,,
