mineral_id,discovery_year_min,discovery_year_max,discovery_year_note,first_usage_date,first_known_use
9fd1fdcd-5ee4-4ea4-ad71-438883ea4024,1901,1949,early 20th century,,
289ea452-4551-462d-828b-28c4f118a473,1880,1889,,,
b96ca05d-ec38-4375-93d3-29fbccc11cdc,2015,,,,
0036c042-38f2-4975-99c9-bff80d30cba5,1975,,,,
38b2a847-188a-46b7-b826-8dcb5dba36e3,1991,,,,
ce103355-157e-4ace-bb41-b06eeab6d6bd,1956,,,,
2a188fcb-0140-47f1-8f44-455ce7998ecc,1983,,,,
3ec5cab6-c73f-4181-af9f-14ba97acb69b,1978,,,,
82e5b232-828e-4abd-bdb8-47a64b787425,2006,,,,
58200f36-fa99-4c4d-b7cc-892225d3304d,1958,,,,
c4118d89-631c-420d-81e3-3a4d654824e8,1990,,,,
5341bf44-5064-45c3-a179-0996cdb78f78,2015,,,,
af53e423-5577-49e6-bab2-595374d6afc6,1938,,,,
c92e9af2-ed0c-4c2a-b513-7a03eaa70190,1855,,,,
f7cdb01d-a9cf-4901-a99c-0a9be47fc0e5,1974,,,,
c9c5c626-52aa-4bdd-8b44-6c90abb9eee4,2013,,,,
13d4798e-919a-463c-b1d7-95477340673a,1939,,,,
b543eb63-3bf9-449f-8a6a-744ffe1578fd,1875,,,,
f82e7433-7600-47d6-b67b-5ce180ac057d,1913,,,,
5827a01e-72f3-4f35-84cc-759e347e2267,1995,,,,
6a56e645-a036-4534-ba05-0affc573942f,2018,,,,
4dbe8623-5a1b-4760-9b10-a8f75e5dbadb,1821,,,,
fc334c3b-f5c6-49b5-afdb-d0aa7ccc8002,2013,,,,
4ef179ec-5bcd-4a05-a0ea-3480f6752f49,1974,,,,
31a35d97-3b2e-48eb-a77b-89a1fdfab607,1986,,,,
b63d76c8-ed41-4f6c-8085-5857aa76e2cd,2013,,,,
88134a97-e1f9-4c5a-8111-c1955f19f725,1780,,?,,jewelry
a462fe03-7c26-4f54-99d5-c54d485f6d14,1866,,,,
