Mineral_Name,name_relation
"""Herkimer-style"" Quartz",
"""Kashmir"" Sapphire",
Clinoenstatite-Clinoferrosilite Series,
Abakusz-kö,
Abellaite,
Abelsonite,
Abenakiite-(Ce),
Abernathyite,
Abhurite,
Abkhazite,
Abramovite,
Absite,
Abswurmbachite,
Abuite,
Abukumalite,
Acanthite,
Acanthite Group,
Acarbodavyne,Davyne
Acerdese,
Acerila,
Acerilla,
Acetamide,
Achalaite,
Achat,
Achavalite,
Achávalite,
Achrematite,
Achroite,
Achtaragdite,
Achyrophanite,
Acmite,
Acmonidesite,
Actinolite,
Actinolite-Ferro-actinolite Series,
Actinolite-Tremolite Series,
Acuminite,
Adachiite,
Adamantine,
Adamantine Spar,
Adamine,
Adamite,
Adamite-Olivenite Series,
Adamsite,
Adamsite-(Y),
Adanite,
Addibischoffite,
Adelaide ruby,Ruby
Adelite,
Adelite Group,
Adelite-Descloizite Group,
Adelite-Gottlobite Series,
Adlerstein,
Admontite,
Adolfpateraite,
Adranosite,
Adranosite Group,
Adranosite-(Al),Adranosite
Adranosite-(Fe),Adranosite
Adrianite,
Adulaire,
Adulare,
Adularia,
Aegirine,
Aegirine-augite,
Aegyrine,
Aenigmatite,
Aenigmatite Group,
Aerinite,
Aërinite,
Aeroides,
Aerugite,
Aeschynite,
Aeschynite Group,
Aeschynite Root,
Aeschynite-(Ce),Aeschynite
Aeschynite-(Ce)-Aeschynite-(Y) Series,
Aeschynite-(Ce)-Nioboaeschynite-(Ce) Series,
Aeschynite-(Nd),Aeschynite
Aeschynite-(Y),Aeschynite
Aeschynite-(Y)-Tantalaeschynite-(Y) Series,
Aetite,
Afanasyevaite,
Afghanite,
Afmite,
African Amethyst,
African emerald,Emerald
African Jade,
Afwillite,
Afwillite Group,
Agaite,
Agakhanovite-(Y),
Agalmatolite,
Agaphite,
Agardite,
Agardite Root,
Agardite-(Ca),Agardite
Agardite-(Ce),Agardite
Agardite-(Dy),Agardite
Agardite-(La),Agardite
Agardite-(Nd),Agardite
Agardite-(Y),Agardite
Agaric Mineral,
Agate,
Agate Jasper,
Agate Opal,
Agate-Jasper,Jasper
Agathacopalite,Copal
Agatized coral,Agate
Agatized Wood,
Aglaite,
Aglaurite,
Agmantinite,
Agrellite,
Agricolaite,
Agricolite,
Agrinierite,
Agua Nueva Agate,
Aguilarite,
Aheylite,
Ahlfeldite,
Ahrensite,
Aiguemarine,
Aikinite,
Aikinite Group,
Aikinite-Bismuthinite Series,
Ainalite,
Aiolosite,
Ajoite,
Akaganeite,
Akaganéite,
Akaogiite,
Akasakaite Root,
Akatoreite,
Akdalaite,
Akermanite,
Åkermanite,
Åkermanite-Gehlenite Series,
Akhtenskite,
Akimotoite,
Aklimaite,
Akopovaite,
Akrochordite,
Aksaite,
Aktashite,
Aktashite-Gruzdevite Series,
Al-Antigorite,Antigorite
Al-illite-hydromica,Illite
Al-lizardite,Lizardite
Al-pyroxene,Pyroxene Group
Alabandine,
Alabandite,
Alabaster,
Alacranite,
Alacránite,
Alamandine,
Alamosite,
Alarsite,
Alaska diamond,
Alaskaite,
Albertiniite,
Albertite,
Albite,
Albite Moonstone,Albite;Moonstone
Albite-Anorthite Series,
Albrechtschraufite,
Alburnite,
Alcantarillaite,
Alcaparrosaite,
Aldanite,
Aldermanite,
Aldridgeite,
Aleksandrovite,
Aleksite,
Aleksite Group,
Aleutite,
Alexandrite,
Alexkhomyakovite,
Alexkuznetsovite-(La),
Alflarsenite,
Alforsite,
Alfredopetrovite,
Alfredstelznerite,
Algerite,
Algodonite,
Aliettite,
Alkali Feldspar,Feldspar
Alkali-amphiboles,
Alkali-beryl,Beryl
Alkali-femaghastingsite,Hastingsite
Alkali-ferrohastingsite,Hastingsite
Alkali-oxyapatite,Hydroxyapatite
Allabogdanite,
Allactite,
Allactite Group,
Allagite,
Allanite,
Allanite Group,
Allanite Root,
Allanite-(Ce),Allanite
Allanite-(La),Allanite
Allanite-(Nd),Allanite
Allanite-(Y),Allanite
Allanite-Epidote,Allanite
Allanpringite,
Allargentum,
Allargentum Group,
Allcharite,
Alleghanyite,
Allemontite,
Allemontite I,
Allemontite II,
Allemontite III,
Allendeite,
Allenite,
Allevardite,
Allingite,
Allochalcoselite,
Alloclasite,
Allopalladium,
Allophane,
Allophane Group,
Allophane-evansite,Allophane
Allophite,
Alloriite,
Alluaivite,
Alluaudite,
Alluaudite Group,
Alluaudite Supergroup,
Alluaudite-Ca□,Alluaudite
Alluaudite-Ferroalluaudite Series,
Alluaudite-Na□,Alluaudite
Alluvial gold,Gold
Almandine,
Almandine Spinel,Spinel
Almandine-Pyrope Series,
Almandine-Spessartine Series,
Almandite,
Almarudite,
Almashite,
Almbosite,
Almeidaite,
Alnaperboeite-(Ce),
Alnaperbøeite-(Ce),Perbøeite-(Ce)
Alpeite,
Alpersite,
Alpha Quartz,
Alpha-Duftite,
Alsakharovite-Zn,
Alstonite,
Alstonite Group,
Alstonite-Barytocalcite Group,
Altaite,
Alterite,
Althausite,
Althupite,
Altisite,
Altmarkite,
Alum Group,
Alum Root,
Alum-(K),Alum Group
Alum-(Na),Alum Group
Alumina,
Aluminian Britholite,Britholite-(Ce)
Aluminian Chromite,Chromite
Aluminian Chrysocolla,Chrysocolla
Aluminian Chrysotile,Chrysotile
Aluminian Ferrian Chrysocolla,Chrysocolla
Aluminian Ferroanthophyllite,Ferro-anthophyllite
Aluminian Hisingerite,Hisingerite
Aluminian Scorodite,Scorodite
Aluminian Strengite,Strengite
Aluminite,
Aluminite Group,
Aluminium,
Aluminium Montmorillonite,Beidellite
Aluminium Spinel,Spinel
Aluminium-glauconite,Glauconite
Aluminium-saponite,Saponite
Aluminium-sepiolite,Sepiolite
