ns_class,ns_subclass,ns_family,description
1,A,A,Copper-cupalite
1,A,B,Zinc-brass
1,A,C,Indium-tin
1,A,D,Mercury-amalgam
1,A,E,Iron-chromium
1,A,F,Platinum-group elements
1,A,G,PGE-metal alloys
1,A,H,"Miscellaneous Elements, alloys"
1,B,A,Carbides
1,B,B,Silicides
1,B,C,Nitrides
1,B,D,Phosphides
1,B,E,Germanides
1,B,F,Borides
1,C,A,Arsenic group elements
1,C,B,Carbon-silicon
1,C,C,Sulfur-selenium-iodine
1,D,A,Nonmetal carbides
1,D,B,Nonmetal nitrides
10,A,A,"Formates, Acetates, etc."
10,A,B,Oxalates
10,A,C,Benzine Salts
10,A,D,Cyanates
10,B,A,Hydrocarbons
10,C,A,Miscellaneous Organic Minerals
2,A,A,"Alloys of metalloids with Cu, Ag, Au"
2,A,B,Ni-metalloid alloys
2,A,C,Alloys of metalloids with PGE
2,B,A,"With Cu, Ag, Au"
2,B,B,With Ni
2,B,C,"With Rh, Pd, Pt, etc."
2,B,D,"With Hg, Tl"
2,B,E,With Pb (Bi)
2,C,A,With Cu
2,C,B,"With Zn, Fe, Cu, Ag, etc."
2,C,C,"With Ni, Fe, Co, PGE, etc."
2,C,D,"With Sn, Pb, Hg, etc."
2,D,A,M:S = 3:4
2,D,B,M:S = 2:3
2,D,C,Variable M:S
2,E,A,"M:S = 1:2 - with Cu, Ag, Au"
2,E,B,"M:S = 1:2 - with Fe, Co, Ni, PGE, etc."
2,E,C,M:S = 1:>2
2,F,A,"With As, (Sb), S"
2,F,B,"With alkalies (without Cl, etc.)"
2,F,C,"With Cl, Br, I (halide-sulfides)"
2,F,D,"With O, OH, H2O"
2,G,A,"Neso-sulfarsenites, etc. without additional S"
2,G,B,"Neso-sulfarsenites, etc. with additional S"
2,G,C,Poly-sulfarsenites
2,H,A,"With Cu, Ag, Fe (without Pb)"
2,H,B,"With Cu, Ag, Fe, Sn and Pb"
2,H,C,With only Pb
2,H,D,With Tl
2,H,E,"With alkalies, H2O"
2,H,F,With SnS and PbS archetype structural units
2,J,A,Galena derivatives with little or no Pb
