"Term ID","Name","Vocab machine name","Count","Approval status","Mindat ID","Term Flattened","Geolocation"
"63633","0","strunz_data","0","","","",""
"66239","1895","tags","0","","","",""
"73324","2008","tags","0","","","",""
"63065","2015","tags","0","","","",""
"63632","A","strunz_data","0","","","",""
"63634","A","strunz_data","0","","","",""
"67545","Aesthetics","tags","0","","","",""
"62786","Afghanistan/Pakistan","tags","0","","","",""
"62782","Agate","tags","0","","","",""
"75209","alpine","tags","0","","","",""
"75207","Alps","tags","0","","","",""
"69502","Analysis","tags","0","","","",""
"69504","Analysis","tags","0","","","",""
"69725","analytical investigations","tags","0","","","",""
"63061","Astromomy","tags","0","","","",""
"70270","Bartelkeite","tags","0","","","",""
"65884","Baryte","tags","0","","","",""
"62319","belgium","tags","0","","","",""
"69509","Beudantite","tags","0","","","",""
"62314","Books","tags","0","","","",""
"64079","Box 321","users_item_tags","0","","","",""
"76518","Bruno Cerato","tags","0","","","",""
"62301","Cabinet 1","users_item_tags","0","","","",""
"62304","Cabinet 1 Shelf 2","users_item_tags","0","","","",""
"70024","calcite","tags","0","","","",""
"70023","cave formation","tags","0","","","",""
"70882","Chile","tags","0","","","",""
"64077","Chinese Selection","users_item_tags","0","","","",""
"75211","classic","tags","0","","","",""
"66215","Collection","tags","0","","","",""
"62790","Copper Mining","tags","0","","","",""
"62317","Cornwall","tags","0","","","",""
"65835","Crystal Form","tags","0","","","",""
"65883","Crystal Forms","tags","0","","","",""
"64730","Derbyshire/Midlands","tags","0","","","",""
"65715","Devon & Cornwall","tags","0","","","",""
"63630","E","strunz_data","0","","","",""
"62318","e-Rocks","tags","0","","","",""
"62298","e-Rocks 2015","users_item_tags","0","","","",""
"69503","EDS","tags","0","","","",""
"69505","EDS","tags","0","","","",""
"63718","Facbook","tags","0","","","",""
"68971","Fakes","tags","0","","","",""
"63068","Field Collecting","tags","0","","","",""
"75205","Florin","tags","0","","","",""
"70025","fluorescent minerals","tags","0","","","",""
"62315","Fossils","tags","0","","","",""
"66879","froodite","tags","0","","","",""
"62312","Gemstones","tags","0","","","",""
"62783","General Minerals","tags","0","","","",""
"73521","Germany","tags","0","","","",""
"66173","Gold","tags","0","","","",""
"70621","Greenockite","tags","0","","","",""
"63631","H","strunz_data","0","","","",""
"66932","Herkimer","tags","0","","","",""
"66930","herkimer diamon","tags","0","","","",""
"75210","inclusions","tags","0","","","",""
"76525","Italian","tags","0","","","",""
"76524","Italy","tags","0","","","",""
"66301","Journals","tags","0","","","",""
"62306","Loaned out to TGMS Thumbnail Competition","users_item_tags","0","","","",""
"62297","May 2015","users_item_tags","0","","","",""
"66300","Meteorites","tags","0","","","",""
"73629","minera","tags","0","","","",""
"63060","Mineral Cleaning","tags","0","","","",""
"69791","Mineral Collecting","tags","0","","","",""
"69771","Mineral Photo Contest","tags","0","","","",""
"62788","Mineral Show","tags","0","","","",""
"66933","minerals","tags","0","","","",""
"63917","Mining","tags","0","","","",""
"68760","Mixed","tags","0","","","",""
"68071","Museum","tags","0","","","",""
"66847","Namibia","tags","0","","","",""
"76523","native elements","tags","0","","","",""
"73471","New Discovery","tags","0","","","",""
"72658","New Mineral","tags","0","","","",""
"62785","North of England","tags","0","","","",""
"75498","North Pennines","tags","0","","","",""
"62787","Oxford Show","tags","0","","","",""
"66480","Peru","tags","0","","","",""
"72452","peshawar","storage","0","","","",""
"62313","Photography","tags","0","","","",""
"75206","Plinius","tags","0","","","",""
"70022","pseudomorph","tags","0","","","",""
"62299","Pyromorphite 2015","users_item_tags","0","","","",""
"62305","Pyromorphite Collection","users_item_tags","0","","","",""
"66931","quartz","tags","0","","","",""
"65878","Quartz Garnet & Fluorite","tags","0","","","",""
"65879","Quartz Garnet & Fluorite - UK & Aesthetic Minerals","tags","0","","","",""
