Mineral_Name,index,A synonym of
Wolframite Group,1.0,NA
D'ansite Group,1.0,NA
Marokite Group,1.0,NA
Acanthite Group,1.0,NA
Adelite Group,1.0; 2.9,Adelite-Descloizite Group
Adranosite Group,1.0,NA
Aenigmatite Group,1.0,NA
Afwillite Group,1.0; 2.9,Spurrite-Afwillite Group
Aikinite Group,1.0,NA
Aleksite Group,1.0,NA
Allactite Group,1.0,NA
Allargentum Group,1.0,NA
Allophane Group,1.0,NA
Alluaudite Group,1.0,NA
Alstonite Group,1.0; 2.9,Alstonite-Barytocalcite Group
Aluminite Group,1.0,NA
Alunite Group,1.0,NA
Amarantite Group,1.0,NA
Amblygonite Group,1.0,NA
Andyrobertsite Group,1.0,NA
Anthoinite Group,1.0,NA
Anthonyite Group,1.0,NA
Aphthitalite Group,1.0,NA
Aragonite Group,1.0,NA
Aramayoite Group,1.0,NA
Aravaipaite Group,1.0,NA
Arcanite Group,1.0,NA
Arctite Group,1.0,NA
Argyrodite Group,1.0,NA
Arsenic Group,1.0,NA
Arsenoclasite Group,1.0,NA
Arsenolite Group,1.0,NA
Arsenopalladinite Group,1.0,NA
Arsenopyrite Group,1.0,NA
Arsmirandite Group,1.0,NA
Arthurite Group,1.0,NA
Artinite Group,1.0,NA
Asisite Group,1.0,NA
Astrophyllite Group,1.0,NA
Atacamite Group,1.0,NA
Atelestite Group,1.0,NA
Aubertite Group,1.0,NA
Auricupride Group,1.0,NA
Autunite Group,1.0,NA
Baddeleyite Group,1.0,NA
Bafertisite Group,1.0,NA
Baratovite Group,1.0,NA
Barringerite Group,1.0,NA
Baryte Group,1.0,NA
Barytocalcite Group,1.0; 2.9,Alstonite-Barytocalcite Group
Batisite Group,1.0,NA
Benitoite Group,1.0,NA
Beraunite Group,1.0,NA
Berdesinskiite Group,1.0,NA
Berthierite Group,1.0,NA
Beryl Group,1.0,NA
Beryllonite Group,1.0,NA
Berzelianite Group,1.0; 2.9,Berzelianite-Umangite Group
Berzeliite Group,1.0,NA
Beudantite Group,1.0,NA
Biphosphammite Group,1.0,NA
Birnessite Group,1.0,NA
Bismutite Group,1.0,NA
Bitikleite Group,1.0,NA
Bixbyite Group,1.0,NA
Bjarebyite Group,1.0,NA
Blödite Group,1.0,NA
Bobfergusonite Group,1.0,NA
Boracite Group,1.0,NA
Borax Group,1.0; 2.9,Tincalconite-Borax Group
Bornhardtite Group,1.0,NA
Botryogen Group,1.0,NA
Bottinoite Group,1.0,NA
Bournonite Group,1.0,NA
Bowieite Group,1.0,NA
Brackebuschite Group,1.0,NA
Bradleyite Group,1.0,NA
Brannerite Group,1.0,NA
Braunite Group,1.0,NA
Bridgmanite Group,1.0,NA
Brochantite Group,1.0,NA
Brownmillerite Group,1.0,NA
Brucite Group,1.0,NA
Buckhornite Group,1.0,NA
Bukovite Group,1.0,NA
Burbankite Group,1.0,NA
Burgessite Group,1.0,NA
Byströmite Group,1.0,NA
Calaverite Group,1.0,NA
Calcioferrite Group,1.0,NA
Calcite Group,1.0,NA
Calomel Group,1.0,NA
Cancrinite Group,1.0,NA
Carminite Group,1.0,NA
Carnallite Group,1.0,NA
Carnotite Group,1.0,NA
Carpholite Group,1.0,NA
Carrollite Group,1.0,NA
Catapleiite Group,1.0,NA
Celadonite Group,1.0,NA
Cervantite Group,1.0,NA
Cetineite Group,1.0,NA
Chabournéite Group,1.0,NA
Chalcanthite Group,1.0,NA
Chalcoalumite Group,1.0,NA
Chalcocite Group,1.0; 2.9,Chalcocite-Digenite Group
Chalcophanite Group,1.0,NA
Chalcophyllite Group,1.0,NA
Chalcopyrite Group,1.0,NA
Chalcostibite Group,1.0,NA
Chegemite Group,1.0,NA
Chenevixite Group,1.0,NA
Chenite Group,1.0; 2.9,Linarite-Chenite Group
Childrenite Group,1.0,NA
Chlorargyrite Group,1.0,NA
Chloritoid Group,1.0,NA
Chlorocalcite Group,1.0,NA
Chlorophoenicite Group,1.0,NA
Chlorothionite Group,1.0,NA
Chrisstanleyite Group,1.0,NA
Claringbullite Group,1.0,NA
Claudetite Group,1.0,NA
Cobaltite Group,1.0,NA
Cobaltomenite Group,1.0,NA
Cohenite Group,1.0,NA
Compreignacite Group,1.0,NA
Copiapite Group,1.0,NA
Copper Group,1.0,NA
Coquimbite Group,1.0,NA
Coronadite Group,1.0,NA
Crichtonite Group,1.0,NA
Cristobalite Group,1.0,NA
Cryolite Group,1.0,NA
Cryptochalcite Group,1.0,NA
Cualstibite Group,1.0,NA
Cubanite Group,1.0,NA
Cuprobismutite Group,1.0,NA
Cyanotrichite Group,1.0,NA
Cylindrite Group,1.0,NA
Dadsonite Group,1.0,NA
Dalyite Group,1.0,NA
Datolite Group,1.0,NA
Deerite Group,1.0; 2.9,Deerite-Howieite Group
Delafossite Group,1.0,NA
Delrioite Group,1.0,NA
Derbylite Group,1.0,NA
Descloizite Group,1.0; 2.9,Adelite-Descloizite Group
Destinezite Group,1.0; 2.9,Sanjuanite-Destinezite Group
Devilline Group,1.0,NA
Devitoite Group,1.0,NA
Diaspore Group,1.0,NA
Digenite Group,1.0; 2.9,Chalcocite-Digenite Group
Djerfisherite Group,1.0,NA
Dolomite Group,1.0,NA
Dresserite Group,1.0,NA
Drugmanite Group,1.0,NA
Dufrénite Group,1.0,NA
Dugganite Group,1.0,NA
Dumortierite Group,1.0,NA
Dussertite Group,1.0,NA
Edtollite Group,1.0,NA
Ellenbergerite Group,1.0,NA
Epidote Group,1.0,NA
Epsomite Group,1.0,NA
Ericssonite Group,1.0,NA
Ershovite Group,1.0,NA
Ettringite Group,1.0,NA
Euchlorine Group,1.0,NA
Eudialyte Group,1.0,NA
Fairchildite Group,1.0,NA
Fairfieldite Group,1.0,NA
Fedorite Group,1.0,NA
Fianelite Group,1.0,NA
Fibroferrite Group,1.0,NA
Fillowite Group,1.0,NA
Fleischerite Group,1.0,NA
Fluckite Group,1.0,NA
Fluorite Group,1.0,NA
Flurlite Group,1.0,NA
Foordite Group,1.0,NA
Fornacite Group,1.0,NA
Fougèrite Group,1.0,NA
Francevillite Group,1.0,NA
Franconite Group,1.0,NA
Freieslebenite Group,1.0,NA
Gaidonnayite Group,1.0,NA
Gainesite Group,1.0,NA
Galena Group,1.0,NA
Galkhaite Group,1.0,NA
Ganomalite Group,1.0,NA
Ganophyllite Group,1.0,NA
Gelosaite Group,1.0,NA
Germanite Group,1.0,NA
Gillespite Group,1.0,NA
Gilmarite Group,1.0,NA
Glaucocerinite Group,1.0,NA
Gordaite Group,1.0,NA
Graftonite Group,1.0,NA
Gravegliaite Group,1.0,NA
Günterblassite Group,1.0,NA
Gypsum Group,1.0,NA
Gyrolite Group,1.0,NA
Halite Group,1.0,NA
Halotrichite Group,1.0,NA
Haradaite Group,1.0,NA
Hauchecornite Group,1.0,NA
Haxonite Group,1.0,NA
Hedyphane Group,1.0,NA
Helvine Group,1.0,NA
Hematite Group,1.0,NA
Hematolite Group,1.0,NA
Hematophanite Group,1.0,NA
Henritermierite Group,1.0,NA
Herderite Group,1.0,NA
Hereroite Group,1.0,NA
Hewettite Group,1.0,NA
Hexahydrite Group,1.0,NA
Hilgardite Group,1.0,NA
Hollandite Group,1.0,NA
Hopeite Group,1.0,NA
Howardevansite Group,1.0,NA
Howieite Group,1.0; 2.9,Deerite-Howieite Group
Humboldtine Group,1.0,NA
Humite Group,1.0,NA
Hureaulite Group,1.0,NA
Hyalotekite Group,1.0,NA
Hydrocalumite Group,1.0,NA
Hydrotalcite Group,1.0,NA
Ilmenite Group,1.0,NA
Inderite Group,1.0,NA
Iranite Group,1.0,NA
Iron Group,1.0,NA
Isomertieite Group,1.0,NA
Jarlite Group,1.0,NA
Johannite Group,1.0,NA
Jordanite Group,1.0,NA
Kamiokite Group,1.0,NA
Kaňkite Group,1.0,NA
Kanonerovite Group,1.0,NA
Kaolinite Group,1.0; 2.9,Kaolinite-Serpentine Group
Katoptrite Group,1.0,NA
Khademite Group,1.0,NA
Khatyrkite Group,1.0,NA
Kieserite Group,1.0,NA
Klebelsbergite Group,1.0,NA
Klyuchevskite Group,1.0,NA
Kobellite Group,1.0,NA
Koechlinite Group,1.0,NA
Koritnigite Group,1.0,NA
Kristiansenite Group,1.0,NA
Ktenasite Group,1.0,NA
Kupletskite Group,1.0,NA
Lammerite-β Group,1.0,NA
Lamprophyllite Group,1.0,NA
Langbeinite Group,1.0,NA
Lapieite Group,1.0,NA
Larderellite Group,1.0,NA
Latiumite Group,1.0,NA
Laueite Group,1.0,NA
Lavendulan Group,1.0,NA
Lawrencite Group,1.0,NA
Lawsonite Group,1.0,NA
Lazulite Group,1.0,NA
Leifite Group,1.0,NA
Lemoynite Group,1.0,NA
Leonite Group,1.0,NA
Lepidocrocite Group,1.0,NA
Leucophoenicite Group,1.0,NA
Leucophosphite Group,1.0,NA
Leydetite Group,1.0,NA
Lillianite Group,1.0,NA
Linarite Group,1.0; 2.9,Linarite-Chenite Group
Lindackerite Group,1.0,NA
Lingunite Group,1.0,NA
Linnaeite Group,1.0,NA
Litidionite Group,1.0,NA
Löllingite Group,1.0,NA
Lovozerite Group,1.0,NA
Ludwigite Group,1.0,NA
Madocite Group,1.0,NA
Maghrebite Group,1.0,NA
Magnetoplumbite Group,1.0,NA
Mandarinoite Group,1.0,NA
Manganhumite Group,1.0,NA
Marcasite Group,1.0,NA
Mathesiusite Group,1.0,NA
Matildite Group,1.0,NA
Matlockite Group,1.0,NA
Medaite Group,1.0,NA
Melanterite Group,1.0,NA
Melonite Group,1.0,NA
Meneghinite Group,1.0,NA
Menezesite Group,1.0,NA
Meta-autunite Group,1.0,NA
Metavariscite Group,1.0,NA
Millerite Group,1.0,NA
Millosevichite Group,1.0,NA
Minasragrite Group,1.0,NA
Mitridatite Group,1.0,NA
Mixite Group,1.0,NA
Modderite Group,1.0,NA
Molybdenite Group,1.0,NA
Molybdophyllite Group,1.0,NA
Montgomeryite Group,1.0,NA
Murdochite Group,1.0,NA
Murmanite Group,1.0,NA
Nabimusaite Group,1.0,NA
Nadorite Group,1.0,NA
Natrolite Group,1.0,NA
