Published.status,Created,Updated,Title,Strunz,Formula,Mindat.ID,Class,Colour,Crystal.System,Dimorph.Of,Group.Members,Group.Parent,Habit.Of,Hardness.Max,Hardness.Min,Isostructural.with,Mindat.Status,Mindat.URL,Mixture.Of,Polymorph.of,Polytype.Of,Renamed.To,Streak,Synonym.Of,Synonyms,Type.Locality,Unnamed,Variety.Of,Approval.status,Nid,Nid.1,Source
Yes,2021-01-31 16:54:42,2021-02-24 15:28:38,Lahn Marble,"","","",Rock,"","","","","","","","","","","","","","","","","","","","",Limestone,New,1461400,1461400,
Yes,2021-01-17 17:07:24,2021-02-24 15:28:38,Unnamed (MSH UK-127),"","","",Mineral,"","","","",Eudialyte Group,"","","","","","","","","","","","","","Poudrette Quarry, Mont Saint-Hilaire, Québec, Canada","","",New,1453663,1453663,
Yes,2021-01-09 13:21:08,2021-02-24 15:28:40,Aplite,"","",50505,Rock,"","","","","","","","","","",https://www.mindat.org/min-50505.html,"","","","","","","","","","",New,1449203,1449203,
Yes,2021-01-06 19:48:11,2021-02-24 15:28:40,Moughton Whetstone,"","","",Rock,"","","","","","","","","","","","","","","","","","","Austwick, North Yorkshire","","",Approved,1447426,1447426,
Yes,2020-10-22 16:06:18,2021-02-24 15:28:42,PMG Pallasite Meteorite,"","","",Meteorite,"","","","","","","","","","","","","","","","","","","","",Meteorite,New,1405674,1405674,
Yes,2020-09-23 14:16:32,2021-02-24 15:28:44,Porphyry,"","",48434,Rock,"","","","","","","","","","",https://www.mindat.org/min-48434.html,"","","","","","",Porphyritic rock,"","","",Approved,1391106,1391106,
Yes,2020-09-09 16:41:57,2021-02-24 15:28:44,Zebra Stone,"","","",Rock,"","","","","","","","","","","","Basalt, Agate","","","","","","","","","",New,1384254,1384254,
Yes,2020-08-06 17:46:26,2021-02-24 15:28:44,Rhyolite,"","","",Rock,"","","","","","","","","","","","","","","","","","","","","",New,1369389,1369389,
Yes,2020-08-06 12:07:43,2021-02-24 15:28:45,Zinc-bearing Aragonite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Aragonite,New,1369248,1369248,
Yes,2020-08-06 10:58:56,2021-02-24 15:28:45,Ryolite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1369236,1369236,
Yes,2020-07-30 17:48:06,2021-02-24 15:28:45,Pseudophite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Clinochlore,New,1366103,1366103,
Yes,2020-06-07 12:55:36,2021-02-24 15:28:47,Lettenkohle,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Coal,New,1341344,1341344,
Yes,2020-03-14 17:24:36,2021-02-24 15:28:49,Starfish,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Fossil,New,1300015,1300015,
Yes,2020-03-10 19:45:49,2021-02-24 15:28:49,Blackband Ore,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Siderite,New,1297729,1297729,
Yes,2020-03-05 17:29:27,2021-02-24 15:28:49,Gao-Guenie,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Meteorite,New,1295672,1295672,
Yes,2020-03-05 17:26:18,2021-02-24 15:28:49,Zag,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Meteorite,New,1295671,1295671,
Yes,2020-02-12 08:51:24,2021-02-24 15:28:50,Caesium Beryl,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Beryl,New,1285286,1285286,
Yes,2020-01-31 17:17:39,2021-02-24 15:28:50,Ixolite,"","An ill-defined resin found in cracks of coal.
Originally reported from Hart, Gloggnitz, Lower Austria, Austria.",25646,Organic,"yellow, yellow-brown, brownish red",Amorphous,"","","","","","","","",https://www.mindat.org/min-25646.html,"","","","","","",Ixolyth,"","","",Approved,1279557,1279557,
Yes,2019-12-08 18:38:13,2021-02-24 15:28:50,Lapis Nevada,"","",26490,Mineral,"","","","","","","","","","",https://www.mindat.org/min-26490.html,"Actinolite, Apatite, Clinozoisite, Diopside, Epidote, Feldspar Group, Quartz, Sericite, Thulite, Zoisite","","","","","","","","","",Approved,1254571,1254571,
Yes,2019-12-08 18:33:51,2021-02-24 15:28:52,Campbellite,"","",39874,Mineral,"","","","","","","","","","",https://www.mindat.org/min-39874.html,"Azurite, Calcite, Chrysocolla, Copper, Cuprite, Gibbsite, Malachite, Quartz","","","","","","","","","",Approved,1254569,1254569,
Yes,2019-12-07 18:42:47,2021-02-24 15:28:52,Strawberry Quartz,"","",11401,Mineral,"","","","",Quartz,"","","","","",https://www.mindat.org/min-11401.html,"","","","","","","","","","",Approved,1254058,1254058,
Yes,2019-12-04 11:52:22,2021-02-24 15:28:52,Hiortdahlite I I,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1252351,1252351,
Yes,2019-11-19 17:44:23,2021-02-24 15:28:53,Vittinkiite,"",MnMn3Mn[Si5O15],53835,Mineral,"",Triclinic,Pyroxmangite,"","","","","","",Approved,https://www.mindat.org/min-53835.html,"","","","","","","IMA2017-082a,  Vittinkiiite","Vittinge Fe Mines, Isokyrö, Ostrobothnia, Finland","","",Approved,1244904,1244904,
Yes,2019-11-12 17:42:36,2021-02-24 15:28:53,Unnamed (Sazhinite-related mineral I),"","Na, La, Si, O, HWith minor Ce and trace Nd.",42461,Mineral,"",Orthorhombic,"","","","","","","","",https://www.mindat.org/min-42461.html,"","","","","","","","Aris Quarry, Windhoek Rural, Khomas Region, Namibia","","",Approved,1241386,1241386,
Yes,2019-08-20 17:39:54,2021-02-24 15:29:36,Cystoidea,"","","",Fossil,"","","","","","","","","","","","","","","","","","","","","",New,1201483,1201483,
Yes,2019-07-22 18:03:22,2021-02-24 15:29:37,Beetle,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Animal,New,1189410,1189410,
Yes,2019-07-12 18:09:15,2021-02-24 15:29:39,Crab,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Animal,New,1185030,1185030,
Yes,2019-07-12 13:26:06,2021-02-24 15:29:39,Gismondine-(Ba),"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184935,1184935,
Yes,2019-07-12 13:26:06,2021-02-24 15:29:39,Paulingite-(Na),"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184936,1184936,
Yes,2019-07-12 13:25:30,2021-02-24 15:29:39,Brammalite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184907,1184907,
Yes,2019-07-12 13:25:30,2021-02-24 15:29:39,Cesiumkenopyrochlore,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184909,1184909,
Yes,2019-07-12 13:25:30,2021-02-24 15:29:40,Garminite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184913,1184913,
Yes,2019-07-12 13:25:30,2021-02-24 15:29:40,Natroglauconite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184919,1184919,
Yes,2019-07-12 13:25:30,2021-02-24 15:29:41,Plumbopolarite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184927,1184927,
Yes,2019-07-12 13:25:30,2021-02-24 15:29:41,Toernroosite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184928,1184928,
Yes,2019-07-12 13:25:30,2021-02-24 15:29:41,Ungavite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184930,1184930,
Yes,2019-07-12 13:25:30,2021-02-24 15:29:41,Yberisilite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184932,1184932,
Yes,2019-07-12 13:25:30,2021-02-24 15:29:43,Yttroceberite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184933,1184933,
Yes,2019-07-12 13:25:30,2021-02-24 15:29:43,Yttroceberysite-(Y),"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1184934,1184934,
Yes,2019-06-21 11:46:02,2021-02-24 15:29:43,Round Cut,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1176106,1176106,
Yes,2019-06-11 11:08:10,2021-02-24 15:29:44,Ticino,"","","",Habit,"","","","","",Quartz,"","","","","","","","","","","","","","","",Approved,1171450,1171450,
Yes,2019-06-08 09:22:32,2021-02-24 15:29:44,Stellite,"","",39061,Mineral,"","","","","","","","","","",https://www.mindat.org/min-39061.html,"","","",Pectolite,"","","","","",Pectolite,Approved,1169944,1169944,
Yes,2019-06-01 16:22:23,2021-02-24 15:29:44,Hornfels,"","","",Rock,"","","","","","","","","","","","","","","","","","","","",Metamorphic Rock,Approved,1167075,1167075,
Yes,2019-05-24 17:55:13,2021-02-24 15:29:44,Equisetum,"","","",Fossil,"","","","","","","","","","","","","","","","","","","","",Plant,New,1163400,1163400,
Yes,2019-05-21 12:41:33,2021-02-24 15:29:46,Pemberthycroftite,"",[Al6(AsO4)3(OH)9(H2O)5]·8H2O,46688,Mineral,"",Monoclinic,"","","","","","","","",https://www.mindat.org/min-46688.html,"","","","","","","","Penberthy Croft Mine, St Hilary, Cornwall, England, UK","","",Approved,1161830,1161830,
Yes,2019-05-14 18:35:14,2021-02-24 15:29:46,Ironstone,"","","",Rock,"","","","","","","","","","","","","","","","","","","","","",New,1158973,1158973,
Yes,2019-05-07 17:36:45,2021-02-24 15:29:46,Paralabuntsovite-(Mg),8/E.07-60,"Na8K8Mg4Ti16(Si4O12)8(OH,O)16 · 20-24H2O",27561,Mineral,"",Monoclinic,"","","","",6,6,"",Approved,https://www.mindat.org/min-27561.html,"","","","","","",Labuntsovite (of Milton et al.),"Trona Mine, Green River Formation, Sweetwater Co., Wyoming, USA","","",Approved,1155781,1155781,
Yes,2019-02-28 17:09:35,2019-06-21 09:07:49,Unnamed (Sn-Ge Sulphide),"",SnGeS3,39609,Mineral,"","","","","","","","","","",https://www.mindat.org/min-39609.html,"","","","","","","","","","",Approved,1122047,1122047,
Yes,2019-02-20 15:04:03,2019-02-20 15:04:03,Hiortdahite II,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1118148,1118148,
Yes,2019-02-20 15:02:59,2019-02-20 15:02:59,Hiordtdahlite II,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1118147,1118147,
Yes,2019-02-19 17:29:58,2019-06-21 09:07:49,Unnamed (Pb2(OH)3(NO3)),"",Pb2(OH)3(NO3),32086,Mineral,"",Orthorhombic,"","","","","","","","Colourless, white, pale yellow",https://www.mindat.org/min-32086.html,"","","","","","",Unnamed (Pb Nitrate I),"","","",Approved,1117649,1117649,
Yes,2019-02-19 17:27:25,2019-06-21 09:07:49,Unnamed (Pb13O8(OH)6(NO3)4),"",Pb13O8(OH)6(NO3)4,32087,Mineral,"Colourless, white, pale yellow",Trigonal,"","","","","","","","",https://www.mindat.org/min-32087.html,"","","","","","",Unnamed (Pb Nitrate II),"","","",Approved,1117647,1117647,
Yes,2019-02-18 18:13:06,2019-06-21 09:07:49,Barrington Crater Impact Spherules,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Tektite,New,1117064,1117064,
Yes,2019-02-09 18:04:42,2019-06-21 09:07:49,Eucrite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Meteorite,New,1113141,1113141,
Yes,2019-02-09 18:03:11,2019-06-21 09:07:49,NWA 10071,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Meteorite,New,1113140,1113140,
Yes,2019-02-09 18:02:34,2019-06-21 09:07:49,Sulagiri LL6,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Meteorite,New,1113139,1113139,
Yes,2019-02-09 18:01:21,2019-06-21 09:07:51,NWA 6210 L3,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Meteorite,New,1113138,1113138,
Yes,2019-02-09 18:00:12,2019-06-21 09:07:51,NWA,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Meteorite,New,1113137,1113137,
Yes,2019-02-09 17:55:50,2019-06-21 09:07:51,NWA 869,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","",Meteorite,New,1113136,1113136,
Yes,2019-02-08 14:47:56,2019-02-08 14:47:56,Buchite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1111836,1111836,
Yes,2018-12-09 17:09:03,2019-06-21 09:07:53,Erbium,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1073138,1073138,
Yes,2018-11-20 17:41:38,2019-06-21 09:07:55,Pandoraite-(Ba),"",BaV4+5V5+2O16·3H2O,52993,Mineral,"",Monoclinic,"","","","","","","",Approved,https://www.mindat.org/min-52993.html,"","","","","","",IMA 2018-024,"Pandora Mine, Paradox Valley, San Juan County, Utah, United States of America","","",Approved,1062705,1062705,
Yes,2018-10-18 16:06:07,2018-10-18 16:06:07,Caysichite -(Y),"","","",Mineral,"","","","","","","","","","","","","","","","","",Caysichite -(Y),"","","",New,1048143,1048143,
Yes,2018-10-16 21:36:12,2018-10-16 21:36:12,Köfelsite,"","","",Rock,"","","","","","","","","","","","","","","","","","","","","",Approved,1047071,1047071,
Yes,2018-10-08 11:05:52,2018-10-08 11:05:52,Iridium Clay,"","","",Rock,"","","","","","","","","","","","","","","","","","","","","",Approved,1043326,1043326,
Yes,2018-10-08 08:57:22,2018-10-08 08:58:31,Iridium Chalk,"","","",Rock,"","","","","","","","","","","","","","","","","","","","","",Approved,1043309,1043309,
Yes,2018-09-28 23:50:32,2018-10-01 18:22:08,Lumachelle,"",A sedimentary rock containing opalescent shells and shell or ammonite fragments.,9523,Rock,"","","","","","","","","","",https://www.mindat.org/min-9523.html,"","","","","","","","","","",New,1038734,1038734,
Yes,2018-09-02 17:58:32,2019-06-21 09:07:57,Pandoraite-(Ca),"",CaV4+5V5+2O16·3H2O,52994,Mineral,"",Monoclinic,"","","","","","","",Approved,https://www.mindat.org/min-52994.html,"","","","","","","","Pandora Mine, La Sal, La Sal District (Paradox Valley District), San Juan Co., Utah, USA","","",Approved,1026325,1026325,
Yes,2018-08-15 18:00:05,2019-06-21 09:07:57,Unnamed (Fe-Al Phosphate),"","Fe, Al, P, O, H",32075,Mineral,"",Monoclinic,"","","","","","","","",https://www.mindat.org/min-32075.html,"","","","","","","","Girard Chert Ocurrence, Burke County, Georgia, United States of America","","",Approved,1018240,1018240,
Yes,2018-07-13 18:10:54,2019-06-21 09:07:59,Kanonenspat,"","",26811,Mineral,"","","","","",Calcite,"","","","",https://www.mindat.org/min-26811.html,"","","","","","","","","","",Approved,1003348,1003348,
Yes,2018-07-10 18:14:41,2019-06-21 09:07:59,Hydrosilicite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,1002178,1002178,
Yes,2018-05-22 20:27:57,2018-05-22 20:40:40,Badenweilerite,"",PbFe3+7AlSi7O27·5H2O,"",Mineral,"","","","","","","","","","","","","","","","","",IMA2011-110,"Silberbrünnle Mine, Haigerach valley, Gengenbach, Black Forest, Baden-Württemberg, Germany","","",Approved,979003,979003,
Yes,2018-05-09 15:01:06,2018-05-09 15:01:06,Kupčikite,"","","",Mineral,"","","","","","","","","","","","","","","","","","","","","",New,973027,973027,
Yes,2018-04-19 18:16:10,2018-04-19 18:16:10,Duke's Red Marble,"","","",Rock,Red,"","","","","","","","","","","","","","","","","","","","",Approved,963960,963960,
