name,cation,anion,silicate,silicate_html,cation_html,anion_html,elements,strunz,formula,ima,year
Aluminium,Al,,,,Al,,Al,1.AA.05,Al,Approved,1812
Copper,Cu,,,,Cu,,Cu,1.AA.05,Cu,"Grandfathered, Approved",1530
Gold,Au,,,,Au,,Au,1.AA.05,Au,"Grandfathered, Approved",700
Lead,Pb,,,,Pb,,Pb,1.AA.05,Pb,"Grandfathered, Approved",60
Nickel,Ni,,,,Ni,,Ni,1.AA.05,Ni,Approved,1967
Silver,Ag,,,,Ag,,Ag,1.AA.05,Ag,"Grandfathered, Approved",1478
Steinhardtite,Al;Ni;Fe,,,,Al x 0.38;Ni x 0.32;Fe x 0.30,,Al;Ni;Fe,1.AA.05,Al<sub>0.38</sub>Ni<sub>0.32</sub>Fe<sub>0.30</sub>,Approved,2014
Auricupride,Au;Cu,,,,Au;Cu x 3,,Cu;Au,1.AA.10a,Cu<sub>3</sub>Au,"Grandfathered, Approved",1950
Cuproauride,Cu;Au,,,,Cu x 3;Au,,Cu;Au,1.AA.10a,Cu<sub>3</sub>Au,"Questionable mineral species, Approved",1939
Tomamaeite,Au;Pt,,,,Au;Pt x 3,,Cu;Pt,1.AA.10a,Cu<sub>3</sub>Pt,"Approved, Pending publication",2019
Tetra-auricupride,Au;Cu,,,,Au;Cu,,Cu;Au,1.AA.10b,CuAu,Approved,1982
Anyuiite,Au;Pb,,,,Au;Pb x 2,,Au;Pb,1.AA.15,AuPb<sub>2</sub>,Approved,1987
Khatyrkite,Cu;Zn;Al,,,,(Cu + Zn)=1;Al x 2,,Cu;Zn;Al,1.AA.15,"(Cu,Zn)Al<sub>2</sub>",Approved,1985
Novodneprite,Au;Pb,,,,Au;Pb x 3,,Au;Pb,1.AA.15,AuPb<sub>3</sub>,Approved,2005
Cupalite,Cu;Zn;Al,,,,(Cu + Zn)=1;Al,,Cu;Zn;Al,1.AA.20,"(Cu,Zn)Al",Approved,1985
Hunchunite,Pb;Au,,,,Pb;Au x 2,,Au;Pb,1.AA.25,Au<sub>2</sub>Pb,Approved,1996
Stolperite,Al;Cu,,,,Al;Cu,,Al;Cu,1.AA.30,AlCu,Approved,2016
Hollisterite,Al;Fe,,,,Al x 3;Fe,,Al;Fe,1.AA.35,Al<sub>3</sub>Fe,Approved,2016
Icosahedrite,Al;Cu;Fe,,,,Al x 63;Cu x 24;Fe x 13,,Al;Cu;Fe,1.AA.40,Al<sub>63</sub>Cu<sub>24</sub>Fe<sub>13</sub>,Approved,2010
Kryachkoite,Al;Cu;Fe,,,,(Al + Cu)=6;(Fe + Cu)=1,,Al;Cu;Fe,1.AA.45,"(Al,Cu)<sub>6</sub>(Fe,Cu)",Approved,2017
Proxidecagonite,Al;Ni;Fe,,,,Al x 34;Ni x 9;Fe x 2,,Al;Ni;Fe,1.AA.50,Al<sub>34</sub>Ni<sub>9</sub>Fe<sub>2</sub>,Approved,2018
Cadmium,Cd,,,,Cd,,Cd,1.AB.05,Cd,Approved,1979
Titanium,Ti,,,,Ti,,Ti,1.AB.05,Ti,Approved,1992
Zinc,Zn,,,,Zn,,Zn,1.AB.05,Zn,"Grandfathered, Approved",1526
Zhanghengite,Cu;Zn,,,,Cu;Zn,,Cu;Zn,1.AB.10a,CuZn,Approved,1986
Danbaite,Zn;Cu,,,,Zn x 2;Cu,,Cu;Zn,1.AB.10b,CuZn<sub>2</sub>,Approved,1983
Indium,In,,,,In,,In,1.AC.05,In,Approved,1964
Tin,Sn,,,,Sn,,Sn,1.AC.10,Sn,"Grandfathered, Approved",
Sorosite,Cu;Sn;Sb,,,,Cu x 1.1-1.2;(Sn + Sb)=1,,Cu;Sn;Sb,1.AC.15,"Cu<sub>1.1-1.2</sub>(Sn,Sb)",Approved,1998
Yuanjiangite,Au;Sn,,,,Au;Sn,,Au;Sn,1.AC.15,AuSn,Approved,1993
Rumoiite,Au;Sn,,,,Au;Sn x 2,,Au;Sn,1.AC.20,AuSn<sub>2</sub>,"Approved, Pending publication",2019
Mercury,Hg,,,,Hg,,Hg,1.AD.05,Hg,"Grandfathered, Approved",-325
Belendorffite,Cu;Hg,,,,Cu x 7;Hg x 6,,Cu;Hg,1.AD.10,Cu<sub>7</sub>Hg<sub>6</sub>,Approved,1990
Kolymite,Cu;Hg,,,,Cu x 7;Hg x 6,,Cu;Hg,1.AD.10,Cu<sub>7</sub>Hg<sub>6</sub>,Approved,1980
Paraschachnerite,Ag;Hg,,,,Ag x 1.2;Hg x 0.8,,Ag;Hg,1.AD.15a,Ag<sub>1.2</sub>Hg<sub>0.8</sub>,Approved,1972
Schachnerite,Ag;Hg,,,,Ag x 1.1;Hg x 0.9,,Ag;Hg,1.AD.15a,Ag<sub>1.1</sub>Hg<sub>0.9</sub>,Approved,1972
Luanheite,Ag;Hg,,,,Ag x 3;Hg,,Ag;Hg,1.AD.15b,Ag<sub>3</sub>Hg,Approved,1984
Eugenite,Hg;Ag,,,,Hg x 2;Ag x 11,,Ag;Hg,1.AD.15c,Ag<sub>11</sub>Hg<sub>2</sub>,Approved,1986
Moschellandsbergite,Ag;Hg,,,,Ag x 2;Hg x 3,,Ag;Hg,1.AD.15d,Ag<sub>2</sub>Hg<sub>3</sub>,"Grandfathered, Approved",1938
Weishanite,Au;Ag;Hg,,,,(Au + Ag)=1.2;Hg x 0.8,,Au;Ag;Hg,1.AD.20a,"(Au,Ag)<sub>1.2</sub>Hg<sub>0.8</sub>",Approved,1982
Potarite,Hg;Pd,,,,Hg;Pd,,Pd;Hg,1.AD.25,PdHg,"Grandfathered, Approved",1928
Leadamalgam,Hg;Pb,,,,Hg x 0.3;Pb x 0.7,,Pb;Hg,1.AD.30,Pb<sub>0.7</sub>Hg<sub>0.3</sub>,Approved,1985
Shosanbetsuite,Ag;Sn,,,,Ag x 3;Sn,,Ag;Sn,1.AD.35,Ag<sub>3</sub>Sn,"Approved, Pending publication",2019
Aurihydrargyrumite,Au;Hg,,,,Au x 6;Hg x 5,,Au;Hg,1.AD.45,Au<sub>6</sub>Hg<sub>5</sub>,Approved,2017
Chromium,Cr,,,,Cr,,Cr,1.AE.05,Cr,Approved,1981
Hexamolybdenum,Mo;Ru;Fe;Ir;Os,,,,(Mo + Ru + Fe + Ir + Os),,Mo;Ru;Fe;Ir;Os,1.AE.05,"(Mo,Ru,Fe,Ir,Os)",Approved,2007
Iron,Fe,,,,Fe,,Fe,1.AE.05,Fe,"Grandfathered, Approved",700
Tungsten,W,,,,W,,W,1.AE.05,W,"Pending publication, Approved",2011
Vanadium,V,,,,V,,V,1.AE.05,V,Approved,2012
Taenite,Fe;Ni,,,,(Fe + Ni)=1,,Fe;Ni,1.AE.10,"(Fe,Ni)","Grandfathered, Approved",1861
Tetrataenite,Fe;Ni,,,,Fe;Ni,,Fe;Ni,1.AE.10,FeNi,Approved,1979
Chromferide,Fe;Cr,,,,Fe x 1.5;Cr x 0.2,,Fe;Cr,1.AE.15,Fe<sub>1.5</sub>Cr<sub>0.2</sub>,Approved,1986
Ferchromide,Fe;Cr,,,,Fe x 0.2;Cr x 1.5,,Cr;Fe,1.AE.15,Cr<sub>1.5</sub>Fe<sub>0.2</sub>,Approved,1986
Wairauite,Co;Fe,,,,Co;Fe,,Co;Fe,1.AE.15,CoFe,Approved,1964
Awaruite,Fe;Ni,,,,Fe;Ni x 3,,Ni;Fe,1.AE.20,Ni<sub>3</sub>Fe,"Grandfathered, Approved",1885
Jedwabite,Ta;Nb;Fe,,,,(Ta + Nb)=3;Fe x 7,,Fe;Ta;Nb,1.AE.25,"Fe<sub>7</sub>(Ta,Nb)<sub>3</sub>",Approved,1995
Nisnite,Ni;Sn,,,,Ni x 3;Sn,,Ni;Sn,1.AE.35,Ni<sub>3</sub>Sn,Approved,2010
